ID;POTENCIA;NRESIDENTES;TIPOVIVIENDA;PROVINCIA;MES;PREDICCION_CONSUMO;PREDICCION_PRECIO;COSTE_POTENCIA;COSTE_ESTIMADO;FECHA_PREDICCION
1;6.1;4.1;Adosado;SEGOVIA;2025-08;339.23;37.0134;225.78;12556.06;2025-04-20
2;5.1;3.1;Casa Unifamiliar;AVILA;2025-08;609.13;70.709;360.62;43070.97;2025-04-20
3;5.9;4.8;Adosado;CASTELLON;2025-05;385.1;90.1208;531.71;34705.52;2025-04-20
4;3.8;2.8;Adosado;OURENSE;2025-05;294.5;419.6254;1594.58;123579.68;2025-04-20
5;3.6;4.0;Adosado;HUESCA;2025-05;286.21;172.3313;620.39;49322.94;2025-04-20
6;6.2;2.9;Casa Unifamiliar;AVILA;2025-04;606.7;293.9386;1822.42;178332.55;2025-04-20
7;3.6;3.3;Piso;SEVILLA;2025-07;273.79;62.2713;224.18;17049.26;2025-04-20
8;5.5;4.8;Casa Unifamiliar;MADRID;2025-10;573.37;341.5101;1878.31;195811.65;2025-04-20
9;4.9;4.1;Casa Unifamiliar;JAEN;2025-08;526.14;203.3583;996.46;106994.94;2025-04-20
10;5.3;2.3;Casa Unifamiliar;LEON;2025-06;569.28;92.8777;492.25;52873.42;2025-04-20
11;5.1;4.4;Adosado;BIZKAIA;2025-10;363.4;173.5284;884.99;63060.22;2025-04-20
12;3.6;4.4;Adosado;GRANADA;2025-06;288.43;86.8206;312.55;25041.67;2025-04-20
13;5.7;3.3;Piso;MURCIA;2025-06;204.1;83.3477;475.08;17011.27;2025-04-20
14;5.4;4.3;Adosado;CORDOBA;2025-06;332.76;62.6854;338.5;20859.19;2025-04-20
15;3.7;2.2;Adosado;VALENCIA;2025-10;318.88;70.2134;259.79;22389.65;2025-04-20
16;5.4;3.1;Duplex;BIZKAIA;2025-06;452.86;55.8291;301.48;25282.77;2025-04-20
17;5.4;2.1;Duplex;CACERES;2025-08;424.79;69.7375;376.58;29623.79;2025-04-20
18;5.9;2.9;Piso;GUADALAJARA;2025-03;303.94;165.6447;977.3;50346.05;2025-04-20
19;6.3;3.2;Adosado;JAEN;2025-03;386.68;70.6131;444.86;27304.67;2025-04-20
20;4.0;3.2;Adosado;HUESCA;2025-07;396.45;82.4341;329.74;32681.0;2025-04-20
21;3.5;3.1;Adosado;MURCIA;2025-08;290.82;43.0385;150.63;12516.46;2025-04-20
22;3.4;4.7;Piso;ASTURIAS;2025-05;300.9;74.2923;252.59;22354.55;2025-04-20
23;6.4;2.1;Piso;GRANADA;2025-06;287.56;108.0067;691.24;31058.41;2025-04-20
24;6.0;4.8;Piso;NAVARRA;2025-09;273.27;87.6518;525.91;23952.61;2025-04-20
25;3.4;5.0;Casa Unifamiliar;HUELVA;2025-08;506.08;101.3697;344.66;51301.18;2025-04-20
26;5.3;2.6;Adosado;BADAJOZ;2025-08;393.22;59.012;312.76;23204.7;2025-04-20
27;4.5;4.8;Casa Unifamiliar;PONTEVEDRA;2025-10;556.22;226.8508;1020.83;126178.95;2025-04-20
28;5.6;4.2;Piso;ALAVA;2025-04;247.93;26.4759;148.27;6564.17;2025-04-20
29;6.1;2.8;Casa Unifamiliar;MURCIA;2025-06;609.84;65.4505;399.25;39914.33;2025-04-20
30;6.3;3.8;Piso;MADRID;2025-06;175.94;69.8759;440.22;12293.97;2025-04-20
31;4.0;3.4;Piso;LA RIOJA;2025-07;161.9;82.7661;331.06;13399.83;2025-04-20
32;4.2;4.7;Casa Unifamiliar;ALICANTE;2025-10;473.14;94.8014;398.17;44854.33;2025-04-20
33;4.1;3.0;Casa Unifamiliar;MURCIA;2025-03;536.87;31.7614;130.22;17051.74;2025-04-20
34;3.9;2.6;Duplex;ALBACETE;2025-10;388.23;267.3212;1042.55;103782.11;2025-04-20
35;5.2;3.9;Adosado;MADRID;2025-04;404.82;85.4804;444.5;34604.18;2025-04-20
36;5.7;3.1;Casa Unifamiliar;ALMERIA;2025-10;446.52;76.8773;438.2;34327.25;2025-04-20
37;6.1;4.9;Piso;CORDOBA;2025-08;244.84;61.1341;372.92;14968.07;2025-04-20
38;5.9;2.3;Piso;SANTA CRUZ DE TENERIFE;2025-10;185.55;94.0403;554.84;17449.18;2025-04-20
39;3.6;2.5;Duplex;SORIA;2025-08;354.4;73.1143;263.21;25911.71;2025-04-20
40;4.8;2.7;Adosado;HUESCA;2025-08;360.5;322.6933;1548.93;116330.93;2025-04-20
41;5.3;4.7;Adosado;ILLES BALEARS;2025-04;396.26;175.1548;928.32;69406.84;2025-04-20
42;5.7;3.4;Adosado;HUESCA;2025-06;403.54;223.7009;1275.1;90272.26;2025-04-20
43;6.3;3.4;Piso;MALAGA;2025-06;212.84;92.954;585.61;19784.33;2025-04-20
44;6.3;3.0;Casa Unifamiliar;ZAMORA;2025-04;497.11;52.7943;332.6;26244.57;2025-04-20
45;5.6;3.3;Piso;VALENCIA;2025-09;184.91;76.9705;431.03;14232.62;2025-04-20
46;4.1;3.5;Adosado;CORDOBA;2025-08;396.81;65.4261;268.25;25961.73;2025-04-20
47;5.0;3.1;Casa Unifamiliar;PONTEVEDRA;2025-09;487.16;327.9543;1639.77;159766.22;2025-04-20
48;5.1;3.8;Casa Unifamiliar;PALENCIA;2025-04;498.17;168.0045;856.82;83694.8;2025-04-20
49;6.1;4.5;Casa Unifamiliar;ALAVA;2025-07;495.46;262.8646;1603.47;130238.89;2025-04-20
50;4.7;2.9;Piso;SALAMANCA;2025-06;241.8;86.3588;405.89;20881.56;2025-04-20
51;4.3;4.2;Casa Unifamiliar;BURGOS;2025-05;530.94;62.7379;269.77;33310.06;2025-04-20
52;6.3;2.5;Duplex;CANTABRIA;2025-05;452.69;83.7089;527.37;37894.18;2025-04-20
53;4.6;4.4;Adosado;CANTABRIA;2025-06;372.38;78.926;363.06;29390.46;2025-04-20
54;4.1;3.8;Piso;TOLEDO;2025-03;296.75;180.8786;741.6;53675.72;2025-04-20
55;3.8;2.7;Duplex;SORIA;2025-06;384.38;67.8954;258.0;26097.63;2025-04-20
56;4.1;3.5;Adosado;SEGOVIA;2025-09;371.16;62.8708;257.77;23335.13;2025-04-20
57;6.5;4.9;Piso;VALLADOLID;2025-06;246.14;74.0301;481.2;18221.77;2025-04-20
58;3.3;4.9;Duplex;BARCELONA;2025-06;368.46;94.9371;313.29;34980.52;2025-04-20
59;4.9;4.5;Piso;BARCELONA;2025-10;223.11;163.7609;802.43;36536.69;2025-04-20
60;5.1;5.0;Piso;CASTELLON;2025-03;230.01;80.8682;412.43;18600.49;2025-04-20
61;3.9;4.3;Adosado;GUADALAJARA;2025-08;336.53;70.708;275.76;23795.36;2025-04-20
62;5.0;3.2;Adosado;PALENCIA;2025-03;323.51;74.9093;374.55;24233.91;2025-04-20
63;6.0;4.9;Piso;CORDOBA;2025-05;300.64;54.922;329.53;16511.75;2025-04-20
64;5.0;4.1;Casa Unifamiliar;HUELVA;2025-06;447.35;60.2546;301.27;26954.9;2025-04-20
65;5.8;4.4;Adosado;GUADALAJARA;2025-04;406.58;112.3731;651.76;45688.65;2025-04-20
66;6.1;4.0;Duplex;CIUDAD REAL;2025-09;398.56;69.2319;422.31;27593.07;2025-04-20
67;5.6;3.7;Duplex;GIRONA;2025-05;441.58;88.8361;497.48;39228.25;2025-04-20
68;6.5;2.9;Piso;LA RIOJA;2025-08;177.76;55.8384;362.95;9925.83;2025-04-20
69;6.0;4.5;Duplex;VALLADOLID;2025-05;444.81;58.219;349.31;25896.39;2025-04-20
70;4.2;4.0;Duplex;LLEIDA;2025-09;392.2;191.0379;802.36;74925.06;2025-04-20
71;4.0;3.8;Piso;ALBACETE;2025-07;189.2;92.3037;369.21;17463.86;2025-04-20
72;3.3;2.1;Duplex;ASTURIAS;2025-05;406.84;79.3462;261.84;32281.21;2025-04-20
73;4.0;3.8;Adosado;VALLADOLID;2025-08;347.16;96.1224;384.49;33369.85;2025-04-20
74;4.4;2.2;Casa Unifamiliar;PONTEVEDRA;2025-09;589.33;202.0089;888.84;119049.91;2025-04-20
75;5.3;2.6;Adosado;BARCELONA;2025-06;397.45;82.7737;438.7;32898.41;2025-04-20
76;5.2;4.9;Piso;SANTA CRUZ DE TENERIFE;2025-03;289.57;72.3709;376.33;20956.44;2025-04-20
77;5.9;3.6;Duplex;TARRAGONA;2025-07;398.62;65.7521;387.94;26210.1;2025-04-20
78;6.0;2.8;Duplex;CACERES;2025-06;359.92;255.1184;1530.71;91822.21;2025-04-20
79;4.4;4.3;Duplex;HUELVA;2025-06;429.23;164.8094;725.16;70741.14;2025-04-20
80;4.2;3.1;Piso;BARCELONA;2025-05;295.26;94.4824;396.83;27896.87;2025-04-20
81;5.6;3.5;Duplex;ALAVA;2025-05;448.49;77.0574;431.52;34559.47;2025-04-20
82;6.3;4.4;Piso;BARCELONA;2025-10;273.88;399.3941;2516.18;109386.06;2025-04-20
83;4.3;4.1;Piso;GIRONA;2025-05;283.7;136.2347;585.81;38649.78;2025-04-20
84;6.3;4.1;Casa Unifamiliar;ASTURIAS;2025-10;590.89;54.0277;340.37;31924.43;2025-04-20
85;6.1;3.3;Piso;ILLES BALEARS;2025-06;294.39;69.6643;424.95;20508.47;2025-04-20
86;4.7;4.2;Piso;NAVARRA;2025-07;201.91;100.8044;473.78;20353.42;2025-04-20
87;5.5;2.0;Adosado;SANTA CRUZ DE TENERIFE;2025-05;302.34;61.4902;338.2;18590.95;2025-04-20
88;5.8;2.9;Piso;CASTELLON;2025-08;258.17;91.7201;531.98;23679.38;2025-04-20
89;6.2;4.0;Casa Unifamiliar;BIZKAIA;2025-07;527.48;161.8272;1003.33;85360.61;2025-04-20
90;6.5;4.2;Casa Unifamiliar;MADRID;2025-03;529.58;68.7658;446.98;36416.99;2025-04-20
91;6.4;2.8;Adosado;ALAVA;2025-09;400.94;70.6365;452.07;28321.0;2025-04-20
92;4.0;2.6;Casa Unifamiliar;SEGOVIA;2025-03;609.43;42.1357;168.54;25678.76;2025-04-20
93;4.9;2.6;Piso;LAS PALMAS;2025-04;296.84;96.3189;471.96;28591.3;2025-04-20
94;3.7;2.5;Piso;CORDOBA;2025-07;170.95;37.1703;137.53;6354.26;2025-04-20
95;5.7;3.8;Duplex;TERUEL;2025-03;457.22;373.2394;2127.46;170652.52;2025-04-20
96;4.0;4.5;Adosado;NAVARRA;2025-09;303.84;61.0191;244.08;18540.04;2025-04-20
97;3.9;4.4;Duplex;GUADALAJARA;2025-10;359.54;66.2459;258.36;23818.05;2025-04-20
98;5.0;4.2;Piso;SORIA;2025-03;301.05;72.9868;364.93;21972.68;2025-04-20
99;6.0;3.4;Adosado;SORIA;2025-07;398.41;87.4611;524.77;34845.38;2025-04-20
100;6.4;5.0;Casa Unifamiliar;OURENSE;2025-10;470.76;64.8239;414.87;30516.5;2025-04-20
101;5.8;3.2;Casa Unifamiliar;PONTEVEDRA;2025-06;566.59;416.2907;2414.49;235866.15;2025-04-20
102;5.4;2.2;Adosado;SORIA;2025-03;309.57;38.3183;206.92;11862.2;2025-04-20
103;5.7;4.7;Casa Unifamiliar;SEVILLA;2025-05;597.41;74.6295;425.39;44584.41;2025-04-20
104;4.6;3.7;Casa Unifamiliar;BURGOS;2025-07;608.09;69.3248;318.89;42155.72;2025-04-20
105;4.2;4.2;Casa Unifamiliar;CACERES;2025-10;552.79;511.0743;2146.51;282516.76;2025-04-20
106;3.9;3.7;Duplex;OURENSE;2025-03;458.3;91.1919;355.65;41793.25;2025-04-20
107;5.2;2.7;Duplex;SALAMANCA;2025-06;447.2;103.8535;540.04;46443.29;2025-04-20
108;4.0;2.9;Piso;ZARAGOZA;2025-04;259.36;60.2465;240.99;15625.53;2025-04-20
109;6.1;3.5;Piso;ASTURIAS;2025-10;234.1;364.6038;2224.08;85353.75;2025-04-20
110;4.2;3.3;Casa Unifamiliar;MALAGA;2025-10;576.04;78.0945;328.0;44985.56;2025-04-20
111;3.5;4.8;Duplex;VALLADOLID;2025-07;427.08;87.5546;306.44;37392.82;2025-04-20
112;4.9;3.1;Duplex;NAVARRA;2025-08;326.53;81.8727;401.18;26733.89;2025-04-20
113;5.8;3.6;Piso;CASTELLON;2025-08;189.4;50.7728;294.48;9616.37;2025-04-20
114;6.2;4.5;Casa Unifamiliar;BADAJOZ;2025-04;552.5;60.2501;373.55;33288.18;2025-04-20
115;6.6;3.1;Duplex;SALAMANCA;2025-03;447.87;38.0962;251.43;17062.15;2025-04-20
