FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2021-10-28;2565;CORESES;ZAMORA;701;;;;;;;;3.9;;;;;;;
2021-10-29;2565;CORESES;ZAMORA;701;12.2;6.6;9.6;04:19;14.7;23:37;21;5.8;17.5;23:59;;;;;
2021-10-30;2565;CORESES;ZAMORA;701;14.6;1.8;11.8;21:41;17.4;14:56;23;6.1;17.8;00:20;;;;;
2021-10-31;2565;CORESES;ZAMORA;701;15.2;9.6;11.5;22:29;18.9;13:48;22;7.5;16.1;11:10;;;;;
2021-11-01;2565;CORESES;ZAMORA;701;10.9;0.2;8.4;23:51;13.4;13:51;26;6.4;15.0;14:10;;;;;
2021-11-02;2565;CORESES;ZAMORA;701;8.6;0.4;5.2;23:59;12.0;13:20;26;6.9;17.5;16:10;;;;;
2021-11-03;2565;CORESES;ZAMORA;701;7.0;0.2;2.2;23:54;11.8;13:39;27;5.0;12.2;10:10;;;;;
2021-11-04;2565;CORESES;ZAMORA;701;6.4;0.0;0.9;Varias;11.9;13:59;35;3.9;11.1;14:10;;;;;
2021-11-05;2565;CORESES;ZAMORA;701;6.3;0.0;0.5;06:25;12.1;15:35;02;3.1;9.4;19:20;;;;;
2021-11-06;2565;CORESES;ZAMORA;701;5.6;0.0;-0.2;06:36;11.5;13:59;05;4.4;14.4;11:30;;;;;
2021-11-07;2565;CORESES;ZAMORA;701;5.4;0.0;-1.2;06:45;12.1;15:02;07;3.3;9.7;15:10;;;;;
2021-11-08;2565;CORESES;ZAMORA;701;9.2;0.0;0.9;07:37;17.5;16:16;32;1.1;4.2;02:10;;;;;
2021-11-09;2565;CORESES;ZAMORA;701;9.6;0.0;2.4;07:43;16.8;14:58;06;1.1;11.4;14:10;;;;;
2021-11-10;2565;CORESES;ZAMORA;701;8.0;0.0;0.6;06:56;15.4;15:05;02;1.7;5.3;05:30;;;;;
2021-11-11;2565;CORESES;ZAMORA;701;6.6;0.0;-1.4;06:46;14.7;15:42;35;1.4;4.2;08:40;;;;;
2021-11-12;2565;CORESES;ZAMORA;701;5.8;0.0;0.4;05:07;11.2;15:11;32;1.7;6.7;05:10;;;;;
2021-11-13;2565;CORESES;ZAMORA;701;5.0;0.0;-0.1;02:59;10.0;14:49;36;2.2;9.2;21:10;;;;;
2021-11-14;2565;CORESES;ZAMORA;701;4.4;0.0;1.0;Varias;7.9;16:11;35;1.7;8.6;00:10;;;;;
2021-11-15;2565;CORESES;ZAMORA;701;5.8;0.0;0.7;06:56;11.0;15:50;08;1.1;5.3;20:50;;;;;
2021-11-16;2565;CORESES;ZAMORA;701;7.0;0.0;1.6;06:36;12.3;14:02;04;4.4;12.2;13:10;;;;;
2021-11-17;2565;CORESES;ZAMORA;701;6.5;0.0;1.1;01:28;11.9;12:18;06;7.5;17.2;16:10;;;;;
2021-11-18;2565;CORESES;ZAMORA;701;6.6;0.0;-0.6;07:17;13.8;14:57;10;5.3;9.2;11:40;;;;;
2021-11-19;2565;CORESES;ZAMORA;701;6.9;0.0;-0.9;07:36;14.7;13:50;12;5.0;11.1;12:30;;;;;
2021-11-20;2565;CORESES;ZAMORA;701;8.0;0.0;1.0;07:31;15.0;14:45;99;3.9;6.7;Varias;;;;;
2021-11-21;2565;CORESES;ZAMORA;701;8.3;0.8;1.6;Varias;15.0;14:34;35;2.2;8.1;02:10;;;;;
2021-11-22;2565;CORESES;ZAMORA;701;4.8;14.2;2.4;23:38;7.1;14:46;02;4.2;15.0;23:00;;;;;
2021-11-23;2565;CORESES;ZAMORA;701;3.9;13.4;2.4;04:10;5.4;17:06;06;8.3;16.9;13:30;;;;;
2021-11-24;2565;CORESES;ZAMORA;701;5.4;5.4;4.0;08:24;6.7;14:24;33;2.2;10.3;14:40;;;;;
2021-11-25;2565;CORESES;ZAMORA;701;5.8;0.0;1.7;07:39;9.9;15:07;03;1.4;7.5;18:20;;;;;
2021-11-26;2565;CORESES;ZAMORA;701;4.8;0.0;0.1;06:30;9.4;14:31;27;3.3;10.8;23:50;;;;;
2021-11-27;2565;CORESES;ZAMORA;701;3.5;0.0;-0.3;22:42;7.3;13:27;36;8.6;16.7;12:10;;;;;
2021-11-28;2565;CORESES;ZAMORA;701;2.8;0.0;-1.9;07:15;7.4;14:04;27;6.9;15.0;14:00;;;;;
2021-11-29;2565;CORESES;ZAMORA;701;7.5;0.0;2.3;23:53;12.7;Varias;26;6.9;12.8;02:10;;;;;
2021-11-30;2565;CORESES;ZAMORA;701;5.8;0.0;-0.9;07:33;12.4;15:51;34;1.1;3.9;05:40;;;;;
2021-12-01;2565;CORESES;ZAMORA;701;4.8;0.0;0.0;03:11;9.7;12:59;25;5.3;15.6;12:10;;;;;
2021-12-02;2565;CORESES;ZAMORA;701;5.2;0.0;0.9;07:18;9.6;14:07;36;5.0;12.8;12:50;;;;;
2021-12-03;2565;CORESES;ZAMORA;701;5.8;0.0;-0.7;Varias;12.2;14:30;25;3.3;9.2;23:50;;;;;
2021-12-04;2565;CORESES;ZAMORA;701;9.4;0.0;4.8;24:00;14.0;Varias;28;6.7;13.3;15:10;;;;;
2021-12-05;2565;CORESES;ZAMORA;701;7.4;0.0;2.9;03:53;11.8;14:27;25;7.5;15.0;09:10;;;;;
2021-12-06;2565;CORESES;ZAMORA;701;7.3;0.6;2.3;05:35;12.3;12:37;26;3.9;11.9;13:40;;;;;
2021-12-07;2565;CORESES;ZAMORA;701;8.5;10.0;5.2;23:47;11.8;10:39;23;9.2;20.3;17:30;;;;;
2021-12-08;2565;CORESES;ZAMORA;701;4.6;0.0;2.4;07:14;6.8;14:19;28;10.0;19.2;14:30;;;;;
2021-12-09;2565;CORESES;ZAMORA;701;7.4;0.0;3.6;00:59;11.2;14:07;25;10.6;17.2;14:10;;;;;
2021-12-10;2565;CORESES;ZAMORA;701;9.8;0.0;5.8;22:42;13.9;13:05;28;9.2;18.9;13:40;;;;;
2021-12-11;2565;CORESES;ZAMORA;701;9.8;0.0;3.6;05:49;16.1;15:07;99;1.9;8.3;Varias;;;;;
2021-12-12;2565;CORESES;ZAMORA;701;5.8;0.0;3.6;00:42;7.9;16:34;34;1.4;4.7;05:10;;;;;
2021-12-13;2565;CORESES;ZAMORA;701;5.8;0.0;4.7;07:42;7.0;00:08;99;2.5;4.7;Varias;;;;;
2021-12-14;2565;CORESES;ZAMORA;701;3.6;0.0;1.3;Varias;5.9;00:06;04;1.9;5.0;00:10;;;;;
2021-12-15;2565;CORESES;ZAMORA;701;2.0;0.0;-3.1;07:01;7.1;14:25;35;1.7;4.7;11:30;;;;;
2021-12-16;2565;CORESES;ZAMORA;701;5.0;0.0;-3.1;08:01;13.2;15:31;03;1.7;5.6;14:10;;;;;
2021-12-17;2565;CORESES;ZAMORA;701;4.6;0.0;-2.2;07:36;11.5;14:50;35;3.1;5.8;08:10;;;;;
2021-12-18;2565;CORESES;ZAMORA;701;2.8;0.0;-2.7;05:17;8.2;15:24;10;1.9;6.1;21:30;;;;;
2021-12-19;2565;CORESES;ZAMORA;701;5.2;0.0;-2.3;06:30;12.7;15:11;35;3.1;6.1;04:30;;;;;
2021-12-20;2565;CORESES;ZAMORA;701;3.3;1.8;-0.5;04:26;7.1;15:06;36;1.4;5.6;02:10;;;;;
2021-12-21;2565;CORESES;ZAMORA;701;10.1;0.8;5.1;Varias;15.1;14:08;13;1.9;6.7;22:20;;;;;
2021-12-22;2565;CORESES;ZAMORA;701;10.1;0.2;5.5;07:40;14.7;13:33;20;1.9;7.5;15:10;;;;;
2021-12-23;2565;CORESES;ZAMORA;701;9.6;3.6;7.6;02:53;11.5;16:18;21;4.2;7.5;21:10;;;;;
2021-12-24;2565;CORESES;ZAMORA;701;8.4;0.4;3.9;06:18;12.9;14:17;22;3.6;10.8;15:40;;;;;
2021-12-25;2565;CORESES;ZAMORA;701;8.4;5.4;7.1;Varias;9.7;13:24;12;3.6;8.9;11:10;;;;;
2021-12-26;2565;CORESES;ZAMORA;701;10.2;10.4;7.7;05:57;12.6;20:08;23;4.7;14.7;23:00;;;;;
2021-12-27;2565;CORESES;ZAMORA;701;11.0;0.0;8.7;08:00;13.2;13:38;26;7.2;16.1;05:10;;;;;
2021-12-28;2565;CORESES;ZAMORA;701;10.8;0.0;8.2;02:39;13.4;15:08;24;5.3;11.7;03:20;;;;;
