FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2022-09-30;4362X;RETAMAL DE LLERENA;BADAJOZ;474;15.6;0.0;7.9;06:25;23.3;16:42;;;;;;;;;
2022-10-01;4362X;RETAMAL DE LLERENA;BADAJOZ;474;17.0;0.0;7.6;05:55;26.3;14:59;12;1.4;7.2;10:40;;;;;
2022-10-02;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.8;0.0;9.7;06:36;31.8;14:18;14;3.3;9.7;14:20;;;;;
2022-10-03;4362X;RETAMAL DE LLERENA;BADAJOZ;474;22.4;0.0;14.2;06:52;30.5;14:15;30;1.9;8.6;11:50;;;;;
2022-10-04;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.9;0.0;13.2;05:57;30.6;14:39;30;1.9;7.2;14:00;;;;;
2022-10-05;4362X;RETAMAL DE LLERENA;BADAJOZ;474;22.2;0.0;12.5;06:30;31.8;13:14;34;1.4;7.5;15:30;;;;;
2022-10-06;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.9;0.0;14.0;04:11;29.8;14:27;13;2.2;7.8;22:00;;;;;
2022-10-07;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.8;0.0;13.7;05:42;27.9;15:14;03;1.9;8.3;15:50;;;;;
2022-10-08;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.4;0.0;11.7;05:59;29.0;14:44;05;1.1;7.5;11:00;;;;;
2022-10-09;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.7;;15.6;06:09;27.8;15:21;24;1.7;13.3;19:30;;;;;
2022-10-10;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.4;;15.4;23:57;25.3;13:11;16;3.1;8.1;13:30;;;;;
2022-10-11;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.6;;13.8;01:16;27.5;14:55;03;1.9;8.1;16:10;;;;;
2022-10-12;4362X;RETAMAL DE LLERENA;BADAJOZ;474;18.6;0.0;11.3;06:37;25.9;15:20;99;1.1;6.7;Varias;;;;;
2022-10-13;4362X;RETAMAL DE LLERENA;BADAJOZ;474;18.8;0.0;10.3;06:19;27.2;15:20;11;1.9;7.5;11:50;;;;;
2022-10-14;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.3;0.0;11.0;06:42;29.6;14:38;09;1.4;3.9;13:00;;;;;
2022-10-15;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.2;0.0;13.5;01:12;28.8;14:03;24;2.8;10.3;15:00;;;;;
2022-10-16;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.2;0.0;13.0;04:20;29.4;13:59;18;3.1;10.0;12:20;;;;;
2022-10-17;4362X;RETAMAL DE LLERENA;BADAJOZ;474;22.4;0.0;15.7;06:30;29.0;13:20;22;4.4;12.8;11:50;;;;;
2022-10-18;4362X;RETAMAL DE LLERENA;BADAJOZ;474;22.2;0.0;15.3;02:26;29.1;13:46;19;5.0;13.1;14:00;;;;;
2022-10-19;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.2;0.0;17.8;02:03;22.5;12:08;20;4.2;14.2;10:10;;;;;
2022-10-20;4362X;RETAMAL DE LLERENA;BADAJOZ;474;17.1;;14.8;20:36;19.4;09:18;18;4.2;11.1;08:40;;;;;
2022-10-21;4362X;RETAMAL DE LLERENA;BADAJOZ;474;17.4;;14.7;06:38;20.0;14:09;22;2.8;10.8;10:30;;;;;
2022-10-22;4362X;RETAMAL DE LLERENA;BADAJOZ;474;18.3;5.4;13.3;04:05;23.3;12:38;18;5.0;15.0;15:10;;;;;
2022-10-23;4362X;RETAMAL DE LLERENA;BADAJOZ;474;18.0;6.6;14.7;23:26;21.3;13:42;18;3.3;11.4;05:00;;;;;
2022-10-24;4362X;RETAMAL DE LLERENA;BADAJOZ;474;17.8;0.0;13.9;02:48;21.8;14:31;18;1.1;5.8;23:10;;;;;
2022-10-25;4362X;RETAMAL DE LLERENA;BADAJOZ;474;19.2;0.0;14.5;00:11;23.8;12:39;18;3.3;10.3;09:40;;;;;
2022-10-26;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.0;0.0;15.2;07:00;26.9;14:54;14;3.3;8.3;14:50;;;;;
2022-10-27;4362X;RETAMAL DE LLERENA;BADAJOZ;474;23.0;0.0;17.3;04:44;28.6;11:47;18;5.0;11.7;13:20;;;;;
2022-10-28;4362X;RETAMAL DE LLERENA;BADAJOZ;474;21.6;0.0;13.6;06:28;29.6;13:15;15;3.3;11.1;10:20;;;;;
2022-10-29;4362X;RETAMAL DE LLERENA;BADAJOZ;474;20.5;0.0;13.3;06:13;27.7;14:07;16;3.3;10.6;09:10;;;;;
2022-10-30;4362X;RETAMAL DE LLERENA;BADAJOZ;474;17.4;0.2;10.8;06:56;24.0;15:30;33;1.7;6.9;09:10;;;;;
2022-10-31;4362X;RETAMAL DE LLERENA;BADAJOZ;474;16.2;0.0;12.8;23:03;19.5;12:52;16;2.8;6.7;13:40;;;;;
2022-11-01;4362X;RETAMAL DE LLERENA;BADAJOZ;474;16.8;0.0;10.5;05:18;23.0;14:17;33;1.1;7.5;15:10;;;;;
2022-11-02;4362X;RETAMAL DE LLERENA;BADAJOZ;474;16.7;0.0;9.3;04:22;24.1;13:26;31;1.7;6.1;17:40;;;;;
2022-11-03;4362X;RETAMAL DE LLERENA;BADAJOZ;474;14.1;0.2;9.9;04:32;18.3;14:56;24;2.8;7.2;18:20;;;;;
2022-11-04;4362X;RETAMAL DE LLERENA;BADAJOZ;474;12.4;0.2;5.6;22:54;19.2;13:18;25;3.1;7.5;00:10;;;;;
2022-11-05;4362X;RETAMAL DE LLERENA;BADAJOZ;474;12.8;0.0;2.6;Varias;22.9;16:36;99;0.8;3.9;Varias;;;;;
2022-11-06;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.8;0.0;2.7;06:33;21.0;14:07;99;1.7;5.3;12:30;;;;;
2022-11-07;4362X;RETAMAL DE LLERENA;BADAJOZ;474;14.8;0.0;6.3;06:01;23.2;14:38;24;1.4;6.9;12:10;;;;;
2022-11-08;4362X;RETAMAL DE LLERENA;BADAJOZ;474;15.4;7.6;9.0;05:22;21.8;14:20;20;3.1;10.6;14:30;;;;;
2022-11-09;4362X;RETAMAL DE LLERENA;BADAJOZ;474;13.8;3.6;9.0;23:34;18.6;15:14;21;2.8;6.9;08:00;;;;;
2022-11-10;4362X;RETAMAL DE LLERENA;BADAJOZ;474;12.8;0.0;6.3;06:15;19.4;15:03;06;1.7;7.5;13:00;;;;;
2022-11-11;4362X;RETAMAL DE LLERENA;BADAJOZ;474;12.8;9.4;6.2;07:03;19.5;13:59;11;1.4;9.7;17:20;;;;;
2022-11-12;4362X;RETAMAL DE LLERENA;BADAJOZ;474;16.0;0.0;10.2;23:57;21.9;13:18;15;2.8;6.9;11:10;;;;;
2022-11-13;4362X;RETAMAL DE LLERENA;BADAJOZ;474;14.4;0.0;7.3;07:17;21.6;14:26;20;1.9;6.4;13:10;;;;;
2022-11-14;4362X;RETAMAL DE LLERENA;BADAJOZ;474;13.1;0.4;8.7;03:45;17.5;12:08;22;3.3;8.3;12:40;;;;;
2022-11-15;4362X;RETAMAL DE LLERENA;BADAJOZ;474;15.9;1.4;13.7;06:56;18.1;12:55;99;5.8;13.6;Varias;;;;;
2022-11-16;4362X;RETAMAL DE LLERENA;BADAJOZ;474;14.0;1.0;12.2;07:25;15.8;14:10;26;2.8;9.2;14:20;;;;;
2022-11-17;4362X;RETAMAL DE LLERENA;BADAJOZ;474;14.4;5.6;11.9;23:52;16.9;15:03;24;5.0;12.2;10:00;;;;;
2022-11-18;4362X;RETAMAL DE LLERENA;BADAJOZ;474;10.6;0.2;7.6;23:15;13.7;13:52;31;5.0;13.6;14:00;;;;;
2022-11-19;4362X;RETAMAL DE LLERENA;BADAJOZ;474;9.5;0.0;5.9;06:40;13.1;14:53;99;5.0;10.6;Varias;;;;;
2022-11-20;4362X;RETAMAL DE LLERENA;BADAJOZ;474;10.8;0.0;8.0;00:16;13.6;13:16;31;1.9;6.7;13:20;;;;;
2022-11-21;4362X;RETAMAL DE LLERENA;BADAJOZ;474;12.4;5.2;9.1;23:32;15.6;13:07;30;6.9;16.9;16:00;;;;;
2022-11-22;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.2;2.0;7.8;04:22;14.6;23:07;23;3.3;11.4;16:40;;;;;
2022-11-23;4362X;RETAMAL DE LLERENA;BADAJOZ;474;15.0;5.2;13.6;05:32;16.4;13:56;25;3.6;11.1;10:50;;;;;
2022-11-24;4362X;RETAMAL DE LLERENA;BADAJOZ;474;15.6;1.0;13.6;Varias;17.6;13:18;99;3.3;8.6;Varias;;;;;
2022-11-25;4362X;RETAMAL DE LLERENA;BADAJOZ;474;10.8;0.0;5.6;22:52;16.1;15:11;29;1.9;8.3;04:30;;;;;
2022-11-26;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.4;0.0;3.8;07:16;19.0;14:13;31;1.1;5.3;05:30;;;;;
2022-11-27;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.0;0.0;3.1;06:24;18.9;13:09;29;1.7;10.3;23:10;;;;;
2022-11-28;4362X;RETAMAL DE LLERENA;BADAJOZ;474;8.2;0.0;2.4;23:58;13.9;14:34;99;5.3;9.7;Varias;;;;;
2022-11-29;4362X;RETAMAL DE LLERENA;BADAJOZ;474;7.4;0.0;-0.3;06:55;15.0;13:47;99;0.8;3.3;Varias;;;;;
2022-11-30;4362X;RETAMAL DE LLERENA;BADAJOZ;474;7.6;2.6;-0.5;04:33;15.6;15:46;30;1.4;6.1;16:40;;;;;
2022-12-01;4362X;RETAMAL DE LLERENA;BADAJOZ;474;10.4;0.0;5.4;22:53;15.3;13:08;36;1.9;5.0;13:40;;;;;
2022-12-02;4362X;RETAMAL DE LLERENA;BADAJOZ;474;7.4;0.0;0.1;07:46;14.7;14:24;02;0.8;4.2;15:40;;;;;
2022-12-03;4362X;RETAMAL DE LLERENA;BADAJOZ;474;7.6;2.8;0.4;07:47;14.8;13:15;22;1.7;7.5;13:20;;;;;
2022-12-04;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.6;1.2;7.7;03:01;15.5;15:00;24;1.9;7.5;08:50;;;;;
2022-12-05;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.4;1.2;8.6;00:01;14.1;13:39;17;6.7;12.8;12:30;;;;;
2022-12-06;4362X;RETAMAL DE LLERENA;BADAJOZ;474;10.4;0.2;7.0;23:59;13.8;13:08;23;1.1;4.2;15:30;;;;;
2022-12-07;4362X;RETAMAL DE LLERENA;BADAJOZ;474;9.2;16.8;4.8;03:04;13.7;14:07;16;3.1;10.8;23:00;;;;;
2022-12-08;4362X;RETAMAL DE LLERENA;BADAJOZ;474;12.5;6.4;10.1;23:38;14.9;11:59;14;5.0;11.9;07:20;;;;;
2022-12-09;4362X;RETAMAL DE LLERENA;BADAJOZ;474;11.4;9.6;8.2;06:57;14.7;15:34;25;3.1;14.2;11:00;;;;;
2022-12-10;4362X;RETAMAL DE LLERENA;BADAJOZ;474;10.9;19.0;9.6;Varias;12.2;15:08;25;3.6;10.3;11:50;;;;;
