FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2023-10-16;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;10.8;;6.8;04:30;14.7;13:30;22;3.6;10.8;23:50;;788.2;00;785.8;24
2023-10-17;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;14.1;;11.2;23:59;17.0;13:20;20;7.5;27.8;20:30;;786.2;10;783.2;23
2023-10-18;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;9.0;;6.4;21:20;11.7;00:10;99;8.6;22.2;02:40;;785.9;10;782.4;24
2023-10-19;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;8.6;;3.5;21:40;13.6;13:20;23;14.4;32.8;17:30;;782.9;00;770.3;19
2023-10-20;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;2.3;;0.5;06:00;4.1;00:20;27;12.5;26.7;00:40;;779.4;22;770.9;00
2023-10-21;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;3.6;;-0.3;06:30;7.5;13:00;23;4.4;18.3;01:10;;781.1;11;778.7;04
2023-10-22;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;8.0;;2.6;00:10;13.3;13:10;19;8.9;34.2;16:40;;779.8;00;771.8;17
2023-10-23;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;5.0;;1.9;23:59;8.1;01:30;24;5.8;21.4;00:10;;784.2;24;778.9;00
2023-10-24;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;5.0;;1.3;07:50;8.8;22:50;24;10.6;18.3;07:10;;787.7;22;783.5;02
2023-10-25;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;8.0;;4.0;00:40;12.1;15:20;23;9.2;18.9;04:40;;790.4;21;786.6;Varias
2023-10-26;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;9.6;;6.6;01:30;12.7;14:00;24;10.3;24.4;20:50;;789.0;00;784.2;Varias
2023-10-27;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;6.8;;3.4;19:50;10.1;13:00;26;7.8;20.0;01:20;;785.7;Varias;783.8;03
2023-10-28;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;5.8;;2.0;03:00;9.7;14:00;23;3.6;10.6;23:50;;784.8;11;783.1;04
2023-10-29;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;7.2;;3.2;01:40;11.3;11:20;22;3.3;18.9;22:50;;783.4;00;779.6;24
2023-10-30;5103E;CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA;GRANADA;2152;4.1;;0.5;20:40;7.7;12:20;25;9.2;23.6;13:40;;785.4;24;777.3;02
