FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2023-10-16;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;15.2;;11.4;04:30;18.9;11:50;29;2.8;8.6;02:20;;829.0;00;826.7;Varias
2023-10-17;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;15.6;;10.9;23:59;20.4;13:00;26;4.2;18.1;22:30;;827.6;Varias;826.4;06
2023-10-18;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;14.9;;10.6;00:30;19.2;11:40;29;5.3;21.4;23:40;;827.0;10;823.0;24
2023-10-19;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;11.2;;6.7;21:40;15.7;00:50;32;8.9;30.8;21:20;;823.2;00;811.3;22
2023-10-20;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;7.2;;5.0;04:30;9.3;12:10;34;12.2;27.2;10:00;;820.4;24;811.5;01
2023-10-21;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;6.7;;1.1;06:10;12.3;12:00;01;1.9;14.2;00:50;;822.4;Varias;819.9;03
2023-10-22;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;11.2;;4.9;00:10;17.5;12:50;25;3.6;14.2;22:50;;821.5;00;817.6;17
2023-10-23;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;9.6;;6.7;23:59;12.4;12:30;27;5.6;16.7;01:30;;826.0;23;820.7;00
2023-10-24;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;10.2;;5.7;03:00;14.7;12:50;30;3.3;16.4;12:40;;828.8;11;825.5;04
2023-10-25;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;14.8;;9.2;23:30;20.4;14:40;34;5.0;20.0;09:50;;830.3;Varias;827.1;03
2023-10-26;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;14.2;;9.3;01:40;19.2;12:20;30;8.1;25.3;18:10;;829.5;00;823.6;18
2023-10-27;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;11.6;;5.4;23:50;17.7;13:40;34;5.8;21.4;00:50;;826.6;22;824.1;Varias
2023-10-28;6248D;CAÑAR, PARQUE NACIONAL SIERRA NEVADA;GRANADA;1732;9.6;;4.4;06:40;14.8;14:30;28;2.8;9.2;23:30;;826.0;Varias;824.0;16
