FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2014-05-01;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;18.6;0.0;13.7;Varias;23.5;11:20;;;;;;;;;
2014-05-02;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;20.3;0.0;14.8;Varias;25.8;Varias;;;;;;;;;
2014-05-03;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;20.4;0.0;14.6;Varias;26.3;Varias;;;;;;;;;
2014-05-04;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;19.0;0.0;12.2;Varias;25.9;Varias;;;;;;;;;
2014-05-05;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;15.6;0.0;9.4;Varias;21.7;Varias;;;;;;;;;
2014-05-06;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.2;0.0;9.6;Varias;18.7;Varias;;;;;;;;;
2014-05-07;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;16.8;0.0;9.9;Varias;23.8;Varias;;;;;;;;;
2014-05-08;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;16.8;0.0;11.4;Varias;22.2;Varias;;;;;;;;;
2014-05-09;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;23.0;0.0;19.3;Varias;26.7;Varias;;;;;;;;;
2014-05-10;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;23.1;0.0;18.9;Varias;27.3;Varias;;;;;;;;;
2014-05-11;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;22.8;0.0;16.6;Varias;29.1;Varias;;;;;;;;;
2014-05-12;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;23.0;0.0;15.5;06:03;30.4;Varias;;;;;;;;;
2014-05-13;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;20.2;0.0;14.0;07:27;26.5;15:52;;;;;;;;;
2014-05-14;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;24.9;0.0;18.5;06:21;31.3;Varias;;;;;;;;;
2014-05-15;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;23.8;0.0;16.6;Varias;30.9;Varias;;;;;;;;;
2014-05-16;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;20.2;0.0;14.4;Varias;26.1;Varias;;;;;;;;;
2014-05-17;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;16.2;0.0;11.9;Varias;20.5;14:57;;;;;;;;;
2014-05-18;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;16.4;0.0;10.2;Varias;22.6;Varias;;;;;;;;;
2014-05-19;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;13.0;0.0;7.9;Varias;18.2;Varias;;;;;;;;;
2014-05-20;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;13.6;0.0;8.2;Varias;18.9;Varias;;;;;;;;;
2014-05-21;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;13.0;0.7;7.2;Varias;18.9;Varias;;;;;;;;;
2014-05-22;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;12.4;0.0;9.4;Varias;15.4;Varias;;;;;;;;;
2014-05-23;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;11.0;0.0;7.7;Varias;14.3;Varias;;;;;;;;;
2014-05-24;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;12.0;0.0;8.3;Varias;15.6;Varias;;;;;;;;;
2014-05-25;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;11.6;1.0;8.9;Varias;14.3;Varias;;;;;;;;;
2014-05-26;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;11.5;0.0;8.9;Varias;14.1;Varias;;;;;;;;;
2014-05-27;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;12.2;0.0;8.6;Varias;15.9;Varias;;;;;;;;;
2014-05-28;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;13.3;0.0;10.0;Varias;16.6;Varias;;;;;;;;;
2014-05-29;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.2;;11.3;Varias;17.0;13:32;;;;;;;;;
2014-05-30;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;13.3;0.1;10.9;Varias;15.7;Varias;;;;;;;;;
2014-05-31;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.0;0.0;10.2;Varias;17.9;Varias;;;;;;;;;
2014-06-01;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.0;0.0;9.6;Varias;18.5;15:23;;;;;;;;;
2014-06-02;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;17.2;0.0;12.3;Varias;22.1;Varias;;;;;;;;;
2014-06-03;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;18.4;0.0;13.5;06:12;23.2;Varias;;;;;;;;;
2014-06-04;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;15.4;0.0;10.0;22:31;20.7;Varias;;;;;;;;;
2014-06-05;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;13.7;0.0;8.7;Varias;18.7;Varias;;;;;;;;;
2014-06-06;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.2;0.0;7.2;Varias;21.1;Varias;;;;;;;;;
2014-06-07;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.8;0.0;8.6;Varias;21.1;Varias;;;;;;;;;
2014-06-08;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.6;0.0;7.2;Varias;22.1;Varias;;;;;;;;;
2014-06-09;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;15.4;0.0;10.8;Varias;20.1;Varias;;;;;;;;;
2014-06-10;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;16.6;0.0;12.4;Varias;20.7;Varias;;;;;;;;;
2014-06-11;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;17.3;0.0;11.9;Varias;22.7;Varias;;;;;;;;;
2014-06-12;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;17.8;0.0;14.3;Varias;21.3;Varias;;;;;;;;;
2014-06-13;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;20.2;0.0;15.3;Varias;25.1;Varias;;;;;;;;;
2014-06-14;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;19.0;0.0;12.5;05:13;25.5;17:35;;;;;;;;;
2014-06-15;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;19.7;0.0;12.5;00:16;26.9;Varias;;;;;;;;;
2014-06-16;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;22.2;0.0;18.4;Varias;26.0;12:32;;;;;;;;;
2014-06-17;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;16.2;0.0;11.4;Varias;20.9;Varias;;;;;;;;;
2014-06-18;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;15.0;0.0;10.7;Varias;19.3;Varias;;;;;;;;;
2014-06-19;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;14.6;0.0;9.7;Varias;19.4;Varias;;;;;;;;;
2014-06-20;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;15.6;0.0;10.7;Varias;20.4;Varias;;;;;;;;;
2014-06-21;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;15.4;0.0;8.9;Varias;22.0;13:54;;;;;;;;;
2014-06-22;C415A;CITFAGRO_64_HOYOS;SANTA CRUZ DE TENERIFE;990;17.4;0.0;12.1;Varias;22.6;Varias;;;;;;;;;
