FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2014-05-01;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.4;0.0;11.9;Varias;16.9;Varias;;;;;;;;;
2014-05-02;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.1;0.0;11.0;03:22;19.2;Varias;;;;;;;;;
2014-05-03;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.4;0.0;9.1;Varias;19.8;Varias;;;;;;;;;
2014-05-04;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.4;0.0;10.2;Varias;18.7;Varias;;;;;;;;;
2014-05-05;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.2;0.0;11.4;Varias;16.9;Varias;;;;;;;;;
2014-05-06;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.5;0.0;11.6;Varias;17.4;Varias;;;;;;;;;
2014-05-07;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.0;0.0;11.6;Varias;18.3;Varias;;;;;;;;;
2014-05-08;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.9;0.0;11.9;Varias;17.9;Varias;;;;;;;;;
2014-05-09;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.5;0.0;11.9;Varias;17.1;Varias;;;;;;;;;
2014-05-10;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.1;0.0;12.4;Varias;17.8;Varias;;;;;;;;;
2014-05-11;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.6;0.0;12.3;Varias;18.8;Varias;;;;;;;;;
2014-05-12;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;16.2;0.0;13.1;Varias;19.3;Varias;;;;;;;;;
2014-05-13;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;17.0;0.0;13.2;Varias;20.8;Varias;;;;;;;;;
2014-05-14;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;17.9;0.0;14.1;Varias;21.7;Varias;;;;;;;;;
2014-05-15;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;16.9;0.0;12.1;Varias;21.7;Varias;;;;;;;;;
2014-05-16;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.3;0.0;11.9;Varias;18.7;Varias;;;;;;;;;
2014-05-17;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.2;0.0;12.3;Varias;18.2;Varias;;;;;;;;;
2014-05-18;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.7;0.0;12.3;Varias;17.1;Varias;;;;;;;;;
2014-05-19;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.7;0.0;11.7;Varias;17.7;Varias;;;;;;;;;
2014-05-20;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.4;0.0;11.9;Varias;19.0;09:52;;;;;;;;;
2014-05-21;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.0;6.2;10.8;Varias;19.1;Varias;;;;;;;;;
2014-05-22;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.2;0.4;12.3;Varias;16.0;09:48;;;;;;;;;
2014-05-23;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.6;0.0;11.6;Varias;17.7;Varias;;;;;;;;;
2014-05-24;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.2;;10.8;Varias;17.6;Varias;;;;;;;;;
2014-05-25;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.4;;12.2;Varias;16.5;11:36;;;;;;;;;
2014-05-26;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.9;0.1;11.9;Varias;17.9;Varias;;;;;;;;;
2014-05-27;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;14.6;0.1;11.3;Varias;17.8;Varias;;;;;;;;;
2014-05-28;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.6;0.0;11.9;Varias;19.2;Varias;;;;;;;;;
2014-05-29;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.8;0.0;12.9;Varias;18.7;Varias;;;;;;;;;
2014-05-30;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.1;0.0;12.8;Varias;17.4;Varias;;;;;;;;;
2014-05-31;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.2;0.0;12.2;Varias;18.1;Varias;;;;;;;;;
2014-06-01;C456R;CITFAGRO_69_SUERTE;SANTA CRUZ DE TENERIFE;551;15.2;0.0;12.3;Varias;18.1;Varias;;;;;;;;;
