FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2014-05-01;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;12.1;0.0;8.0;23:15;16.2;Varias;;;;;;;;;
2014-05-02;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;16.8;0.0;12.3;Varias;21.3;Varias;;;;;;;;;
2014-05-03;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;18.1;0.0;13.8;Varias;22.4;Varias;;;;;;;;;
2014-05-04;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;16.0;0.0;10.1;Varias;22.0;11:23;;;;;;;;;
2014-05-05;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;13.0;0.0;8.9;Varias;17.1;Varias;;;;;;;;;
2014-05-06;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;12.4;0.0;10.0;06:12;14.7;Varias;;;;;;;;;
2014-05-07;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;13.0;0.0;8.9;Varias;17.0;13:33;;;;;;;;;
2014-05-08;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;14.4;0.0;10.3;Varias;18.4;Varias;;;;;;;;;
2014-05-09;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;16.4;0.0;11.1;Varias;21.6;Varias;;;;;;;;;
2014-05-10;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;15.1;0.0;9.6;Varias;20.6;Varias;;;;;;;;;
2014-05-11;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;18.6;0.0;9.4;Varias;27.8;Varias;;;;;;;;;
2014-05-12;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;21.1;0.0;13.0;23:25;29.2;Varias;;;;;;;;;
2014-05-13;C466O;CITFAGRO_91_CUBO;SANTA CRUZ DE TENERIFE;878;15.5;0.0;8.5;03:42;22.5;16:04;;;;;;;;;
