Fecha;Provincia;Festividad
01/01/2010;A CORUÑA;Año Nuevo
01/01/2010;ALBACETE;Año Nuevo
01/01/2010;ALICANTE;Año Nuevo
01/01/2010;ALMERIA;Año Nuevo
01/01/2010;ALAVA;Año Nuevo
01/01/2010;ASTURIAS;Año Nuevo
01/01/2010;AVILA;Año Nuevo
01/01/2010;BADAJOZ;Año Nuevo
01/01/2010;ILLES BALEARS;Año Nuevo
01/01/2010;BARCELONA;Año Nuevo
01/01/2010;BIZKAIA;Año Nuevo
01/01/2010;BURGOS;Año Nuevo
01/01/2010;CACERES;Año Nuevo
01/01/2010;CADIZ;Año Nuevo
01/01/2010;CANTABRIA;Año Nuevo
01/01/2010;CASTELLON;Año Nuevo
01/01/2010;CEUTA;Año Nuevo
01/01/2010;CIUDAD REAL;Año Nuevo
01/01/2010;CORDOBA;Año Nuevo
01/01/2010;CUENCA;Año Nuevo
01/01/2010;GIPUZKOA;Año Nuevo
01/01/2010;GIRONA;Año Nuevo
01/01/2010;GRANADA;Año Nuevo
01/01/2010;GUADALAJARA;Año Nuevo
01/01/2010;HUELVA;Año Nuevo
01/01/2010;HUESCA;Año Nuevo
01/01/2010;ILLES BALEARS;Año Nuevo
01/01/2010;JAEN;Año Nuevo
01/01/2010;LA RIOJA;Año Nuevo
01/01/2010;LAS PALMAS;Año Nuevo
01/01/2010;LEON;Año Nuevo
01/01/2010;LLEIDA;Año Nuevo
01/01/2010;LUGO;Año Nuevo
01/01/2010;MADRID;Año Nuevo
01/01/2010;MALAGA;Año Nuevo
01/01/2010;MELILLA;Año Nuevo
01/01/2010;MURCIA;Año Nuevo
01/01/2010;NAVARRA;Año Nuevo
01/01/2010;OURENSE;Año Nuevo
01/01/2010;PALENCIA;Año Nuevo
01/01/2010;PONTEVEDRA;Año Nuevo
01/01/2010;SALAMANCA;Año Nuevo
01/01/2010;SANTA CRUZ DE TENERIFE;Año Nuevo
01/01/2010;SEGOVIA;Año Nuevo
01/01/2010;SEVILLA;Año Nuevo
01/01/2010;SORIA;Año Nuevo
01/01/2010;SANTA CRUZ DE TENERIFE;Año Nuevo
01/01/2010;TARRAGONA;Año Nuevo
01/01/2010;TERUEL;Año Nuevo
01/01/2010;TOLEDO;Año Nuevo
01/01/2010;VALENCIA;Año Nuevo
01/01/2010;VALLADOLID;Año Nuevo
01/01/2010;ZAMORA;Año Nuevo
01/01/2010;ZARAGOZA;Año Nuevo
06/01/2010;A CORUÑA;Epifanía del Señor
06/01/2010;ALBACETE;Epifanía del Señor
06/01/2010;ALICANTE;Epifanía del Señor
06/01/2010;ALMERIA;Epifanía del Señor
06/01/2010;ALAVA;Epifanía del Señor
06/01/2010;ASTURIAS;Epifanía del Señor
06/01/2010;AVILA;Epifanía del Señor
06/01/2010;BADAJOZ;Epifanía del Señor
06/01/2010;ILLES BALEARS;Epifanía del Señor
06/01/2010;BARCELONA;Epifanía del Señor
06/01/2010;BIZKAIA;Epifanía del Señor
06/01/2010;BURGOS;Epifanía del Señor
06/01/2010;CACERES;Epifanía del Señor
06/01/2010;CADIZ;Epifanía del Señor
06/01/2010;CANTABRIA;Epifanía del Señor
06/01/2010;CASTELLON;Epifanía del Señor
06/01/2010;CEUTA;Epifanía del Señor
06/01/2010;CIUDAD REAL;Epifanía del Señor
06/01/2010;CORDOBA;Epifanía del Señor
06/01/2010;CUENCA;Epifanía del Señor
06/01/2010;GIPUZKOA;Epifanía del Señor
06/01/2010;GIRONA;Epifanía del Señor
06/01/2010;GRANADA;Epifanía del Señor
06/01/2010;GUADALAJARA;Epifanía del Señor
06/01/2010;HUELVA;Epifanía del Señor
