Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,GIRONA,276.83,3.0,5.6,Piso,13.89677680311891,8.074542884990255,19.721396686159842,1.9421944444444443,7.547777777777778,944.2099999999999,939.5444444444444
2014-04,GIRONA,345.99,2.9,5.5,Adosado,13.89677680311891,8.074542884990255,19.721396686159842,1.9421944444444443,7.547777777777778,944.2099999999999,939.5444444444444
2014-04,GIRONA,450.0,4.1,4.4,Duplex,13.89677680311891,8.074542884990255,19.721396686159842,1.9421944444444443,7.547777777777778,944.2099999999999,939.5444444444444
2014-04,GIRONA,600.0,4.5,6.0,Casa Unifamiliar,13.89677680311891,8.074542884990255,19.721396686159842,1.9421944444444443,7.547777777777778,944.2099999999999,939.5444444444444
2014-05,GIRONA,223.7,3.3,3.9,Piso,15.073391812865497,9.28081494057725,20.86752499528391,2.2861827956989247,8.074193548387097,946.1827956989248,942.7107526881721
2014-05,GIRONA,340.68,4.7,5.0,Adosado,15.073391812865497,9.28081494057725,20.86752499528391,2.2861827956989247,8.074193548387097,946.1827956989248,942.7107526881721
2014-05,GIRONA,407.47,3.2,5.3,Duplex,15.073391812865497,9.28081494057725,20.86752499528391,2.2861827956989247,8.074193548387097,946.1827956989248,942.7107526881721
2014-05,GIRONA,464.9,4.4,5.8,Casa Unifamiliar,15.073391812865497,9.28081494057725,20.86752499528391,2.2861827956989247,8.074193548387097,946.1827956989248,942.7107526881721
2014-06,GIRONA,206.06,2.6,4.2,Piso,20.090995126705653,13.801119883040936,26.37393567251462,2.006569444444444,9.077777777777778,946.4377777777777,943.23
2014-06,GIRONA,384.39,2.1,5.4,Adosado,20.090995126705653,13.801119883040936,26.37393567251462,2.006569444444444,9.077777777777778,946.4377777777777,943.23
2014-06,GIRONA,350.83,3.7,6.5,Duplex,20.090995126705653,13.801119883040936,26.37393567251462,2.006569444444444,9.077777777777778,946.4377777777777,943.23
2014-06,GIRONA,447.3,2.3,3.4,Casa Unifamiliar,20.090995126705653,13.801119883040936,26.37393567251462,2.006569444444444,9.077777777777778,946.4377777777777,943.23
