Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,GRANADA,227.3,2.1,4.5,Piso,16.611712121212122,10.649157731157732,22.57211616161616,2.3405291005291007,8.725555555555555,932.0078888888889,927.5452777777778
2014-04,GRANADA,400.0,2.2,6.6,Adosado,16.611712121212122,10.649157731157732,22.57211616161616,2.3405291005291007,8.725555555555555,932.0078888888889,927.5452777777778
2014-04,GRANADA,383.76,3.0,4.7,Duplex,16.611712121212122,10.649157731157732,22.57211616161616,2.3405291005291007,8.725555555555555,932.0078888888889,927.5452777777778
2014-04,GRANADA,600.0,3.6,5.8,Casa Unifamiliar,16.611712121212122,10.649157731157732,22.57211616161616,2.3405291005291007,8.725555555555555,932.0078888888889,927.5452777777778
2014-05,GRANADA,185.5,4.2,4.2,Piso,18.52073313782991,11.927145650048876,25.118093841642228,2.609056579621096,11.166666666666668,935.1455376344086,931.5487096774193
2014-05,GRANADA,282.09,3.7,4.1,Adosado,18.52073313782991,11.927145650048876,25.118093841642228,2.609056579621096,11.166666666666668,935.1455376344086,931.5487096774193
2014-05,GRANADA,365.81,4.9,5.0,Duplex,18.52073313782991,11.927145650048876,25.118093841642228,2.609056579621096,11.166666666666668,935.1455376344086,931.5487096774193
2014-05,GRANADA,563.58,2.4,4.8,Casa Unifamiliar,18.52073313782991,11.927145650048876,25.118093841642228,2.609056579621096,11.166666666666668,935.1455376344086,931.5487096774193
2014-06,GRANADA,300.0,2.1,6.2,Piso,21.73606228956229,15.024964646464646,28.448301346801347,2.5532539682539683,10.815555555555555,929.1862222222222,925.9829444444445
2014-06,GRANADA,395.68,3.9,5.2,Adosado,21.73606228956229,15.024964646464646,28.448301346801347,2.5532539682539683,10.815555555555555,929.1862222222222,925.9829444444445
2014-06,GRANADA,317.72,4.2,5.9,Duplex,21.73606228956229,15.024964646464646,28.448301346801347,2.5532539682539683,10.815555555555555,929.1862222222222,925.9829444444445
2014-06,GRANADA,600.0,2.8,3.5,Casa Unifamiliar,21.73606228956229,15.024964646464646,28.448301346801347,2.5532539682539683,10.815555555555555,929.1862222222222,925.9829444444445
2014-07,GRANADA,285.02,3.0,6.5,Piso,24.429767025089607,17.492121212121212,31.365988106875204,2.565130568356375,12.401075268817204,938.380752688172,935.1651612903225
2014-07,GRANADA,330.4,4.5,3.8,Adosado,24.429767025089607,17.492121212121212,31.365988106875204,2.565130568356375,12.401075268817204,938.380752688172,935.1651612903225
2014-07,GRANADA,414.83,2.6,4.5,Duplex,24.429767025089607,17.492121212121212,31.365988106875204,2.565130568356375,12.401075268817204,938.380752688172,935.1651612903225
2014-07,GRANADA,462.98,4.5,5.8,Casa Unifamiliar,24.429767025089607,17.492121212121212,31.365988106875204,2.565130568356375,12.401075268817204,938.380752688172,935.1651612903225
2014-08,GRANADA,176.02,3.3,4.6,Piso,25.05436461388074,17.870469208211144,32.239608993157375,2.239688940092166,11.557526881720431,925.8652150537634,922.730376344086
2014-08,GRANADA,400.0,3.1,4.3,Adosado,25.05436461388074,17.870469208211144,32.239608993157375,2.239688940092166,11.557526881720431,925.8652150537634,922.730376344086
