Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,SALAMANCA,271.54,4.1,6.1,Piso,11.93968253968254,5.802905982905983,18.074865689865693,3.256153846153846,7.695833333333334,905.9266666666666,901.7113333333333
2014-04,SALAMANCA,340.86,4.0,6.0,Adosado,11.93968253968254,5.802905982905983,18.074865689865693,3.256153846153846,7.695833333333334,905.9266666666666,901.7113333333333
2014-04,SALAMANCA,450.0,3.2,3.5,Duplex,11.93968253968254,5.802905982905983,18.074865689865693,3.256153846153846,7.695833333333334,905.9266666666666,901.7113333333333
2014-04,SALAMANCA,600.0,2.6,3.6,Casa Unifamiliar,11.93968253968254,5.802905982905983,18.074865689865693,3.256153846153846,7.695833333333334,905.9266666666666,901.7113333333333
2014-05,SALAMANCA,251.8,4.5,6.0,Piso,13.303225806451612,6.006221198156682,20.59953917050691,3.646650124069479,10.04489247311828,906.6800000000001,902.9703225806452
2014-05,SALAMANCA,388.68,3.1,5.8,Adosado,13.303225806451612,6.006221198156682,20.59953917050691,3.646650124069479,10.04489247311828,906.6800000000001,902.9703225806452
2014-05,SALAMANCA,399.86,3.5,5.7,Duplex,13.303225806451612,6.006221198156682,20.59953917050691,3.646650124069479,10.04489247311828,906.6800000000001,902.9703225806452
2014-05,SALAMANCA,600.0,2.8,5.4,Casa Unifamiliar,13.303225806451612,6.006221198156682,20.59953917050691,3.646650124069479,10.04489247311828,906.6800000000001,902.9703225806452
2014-06,SALAMANCA,180.27,3.2,6.1,Piso,16.93095238095238,9.317619047619047,24.544285714285714,3.3390109890109887,11.051666666666668,907.2266666666667,904.2186666666668
2014-06,SALAMANCA,281.89,2.1,6.4,Adosado,16.93095238095238,9.317619047619047,24.544285714285714,3.3390109890109887,11.051666666666668,907.2266666666667,904.2186666666668
2014-06,SALAMANCA,374.85,3.1,6.2,Duplex,16.93095238095238,9.317619047619047,24.544285714285714,3.3390109890109887,11.051666666666668,907.2266666666667,904.2186666666668
2014-06,SALAMANCA,439.11,3.1,3.5,Casa Unifamiliar,16.93095238095238,9.317619047619047,24.544285714285714,3.3390109890109887,11.051666666666668,907.2266666666667,904.2186666666668
2014-07,SALAMANCA,229.42,4.6,5.7,Piso,19.783179723502304,11.703917050691244,27.8647465437788,3.3764622474299895,11.16451612903226,907.4296774193548,904.36
2014-07,SALAMANCA,334.51,4.0,5.2,Adosado,19.783179723502304,11.703917050691244,27.8647465437788,3.3764622474299895,11.16451612903226,907.4296774193548,904.36
2014-07,SALAMANCA,337.86,4.6,5.7,Duplex,19.783179723502304,11.703917050691244,27.8647465437788,3.3764622474299895,11.16451612903226,907.4296774193548,904.36
2014-07,SALAMANCA,510.6,3.4,5.5,Casa Unifamiliar,19.783179723502304,11.703917050691244,27.8647465437788,3.3764622474299895,11.16451612903226,907.4296774193548,904.36
