FECHA;ALTITUD;TMEDIA;TMIN;TMAX;DIR;VELMEDIA;RACHA;SOL;PRESMAX;PRESMIN
2014-04-01;748.2857142857143;13.142857142857142;8.328571428571427;18.014285714285716;15.2;5.42;16.98;6.3;968.5;962.0
2014-04-02;748.2857142857143;10.728571428571428;7.6571428571428575;13.814285714285715;30.2;5.659999999999999;18.5;0.0;962.4;956.5
2014-04-03;748.2857142857143;8.414285714285715;5.642857142857143;11.171428571428573;28.6;2.7600000000000002;11.9;0.0;968.4;957.1
2014-04-04;748.2857142857143;9.571428571428571;4.785714285714286;14.4;30.6;3.88;12.26;8.1;974.9;968.4
2014-04-05;748.2857142857143;13.271428571428572;7.942857142857143;18.557142857142857;44.2;2.48;9.28;5.1;978.9;974.7
2014-04-06;748.2857142857143;15.471428571428572;7.757142857142857;23.2;21.4;1.72;9.32;11.6;978.9;973.9
2014-04-07;748.2857142857143;15.700000000000001;7.557142857142857;23.814285714285713;21.4;2.7199999999999998;11.62;11.1;978.8;973.4
2014-04-08;601.3333333333334;12.833333333333334;8.316666666666666;17.349999999999998;28.0;2.025;7.3;6.9;983.5;978.8
2014-04-09;601.3333333333334;14.416666666666666;5.8500000000000005;22.983333333333334;43.25;1.4;6.9;12.4;983.2;976.0
2014-04-10;601.3333333333334;15.916666666666666;7.816666666666666;23.96666666666667;23.5;1.9500000000000002;11.4;7.6;977.7;972.7
2014-04-11;601.3333333333334;13.516666666666666;9.033333333333333;18.016666666666666;27.5;3.0;9.225;10.6;975.8;971.8
2014-04-12;601.3333333333334;12.0;7.766666666666667;16.216666666666665;65.25;2.8;7.35;7.0;979.4;974.2
2014-04-13;601.3333333333334;14.716666666666667;7.166666666666667;22.25;40.5;3.0;7.7;12.3;980.8;975.8
2014-04-14;601.3333333333334;15.166666666666666;7.333333333333333;23.0;10.75;2.25;7.225;11.6;977.9;972.6
2014-04-15;601.3333333333334;17.75;11.466666666666667;24.066666666666666;20.5;1.4749999999999999;8.525;6.6;974.5;971.6
2014-04-16;601.3333333333334;17.5;9.083333333333334;25.933333333333334;46.25;2.075;7.55;12.4;976.8;973.1
2014-04-17;601.3333333333334;16.216666666666665;7.766666666666667;24.633333333333336;39.5;2.55;7.65;12.1;978.7;975.0
2014-04-18;748.2857142857143;14.385714285714286;5.0;23.75714285714286;30.6;2.38;8.22;13.0;976.5;968.7
