FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2013-12-01;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;34;4.7;15.3;07:20;;949.0;22;941.0;Varias
2013-12-02;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;06;2.8;6.7;13:40;;953.0;Varias;948.0;Varias
2013-12-03;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;09;1.9;8.6;13:20;;957.0;23;953.0;Varias
2013-12-04;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;27;1.4;3.9;00:20;;958.0;Varias;956.0;Varias
2013-12-05;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;08;1.4;5.6;12:50;;959.0;Varias;956.0;Varias
2013-12-06;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;09;1.7;8.1;12:30;;957.0;10;954.0;Varias
2013-12-07;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;09;1.7;5.6;13:50;;956.0;Varias;953.0;14
2013-12-08;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;19;1.9;6.4;13:00;;959.0;Varias;955.0;Varias
2013-12-09;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;0.0;;;;;11;0.8;6.7;15:30;;961.0;Varias;958.0;Varias
2013-12-10;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;;;;;;;18;1.4;7.2;12:00;;962.0;Varias;960.0;Varias
2023-07-05;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;27.2;0.0;22.0;03:10;32.5;15:00;07;3.6;12.8;13:40;;948.2;09;945.7;18
2023-07-06;6312E;R핯OL, PARQUE NACIONAL SIERRA NEVADA;ALMERIA;601;26.5;0.0;22.0;Varias;31.0;12:50;12;2.5;9.7;13:40;;947.1;00;943.9;17
