FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2023-03-14;9201X;JACA;HUESCA;832;7.9;0.0;4.6;07:50;11.2;15:00;27;8.1;17.5;15:00;;924.5;22;917.9;00
2023-03-15;9201X;JACA;HUESCA;832;10.8;0.0;4.1;07:20;17.4;16:20;28;3.1;10.8;00:10;;923.7;00;920.5;18
2023-03-16;9201X;JACA;HUESCA;832;14.3;0.0;5.7;04:50;22.9;15:10;11;3.1;9.7;22:10;;921.2;00;915.8;18
2023-03-17;9201X;JACA;HUESCA;832;12.4;0.2;9.7;23:59;15.1;15:10;09;4.2;11.9;01:40;;918.1;11;916.2;05
2023-03-18;9201X;JACA;HUESCA;832;10.4;1.6;5.1;23:40;15.7;16:10;33;3.6;11.9;18:40;;921.6;Varias;917.0;04
2023-03-19;9201X;JACA;HUESCA;832;8.8;0.0;3.0;07:30;14.7;15:40;26;4.2;11.1;14:20;;926.7;23;921.6;Varias
2023-03-20;9201X;JACA;HUESCA;832;9.4;0.0;-0.2;07:30;18.9;15:10;27;1.7;7.8;Varias;;926.7;01;921.7;17
2023-03-21;9201X;JACA;HUESCA;832;11.4;0.0;3.5;05:40;19.3;14:40;29;2.2;9.4;15:50;;922.9;00;919.9;16
2023-03-22;9201X;JACA;HUESCA;832;12.0;0.0;4.5;06:40;19.5;12:40;02;1.4;7.2;01:40;;921.9;00;918.9;16
2023-03-23;9201X;JACA;HUESCA;832;15.7;0.0;9.0;05:30;22.4;14:00;10;2.5;8.1;13:20;;919.9;01;917.1;15
2023-03-24;9201X;JACA;HUESCA;832;11.4;0.0;6.0;23:59;16.7;15:40;36;1.9;8.1;12:10;;925.3;24;918.8;Varias
2023-03-25;9201X;JACA;HUESCA;832;9.8;0.0;2.4;05:50;17.3;14:10;02;0.8;6.4;21:30;;926.4;10;922.3;24
2023-03-26;9201X;JACA;HUESCA;832;10.2;0.0;6.0;23:59;14.5;12:20;29;7.8;21.9;12:40;;924.5;24;920.3;05
2023-03-27;9201X;JACA;HUESCA;832;8.6;0.0;3.0;23:30;14.1;15:10;25;5.6;12.2;08:10;;926.8;Varias;923.9;06
2023-03-28;9201X;JACA;HUESCA;832;10.6;0.0;1.3;04:30;19.8;15:50;03;1.7;8.1;21:00;;928.8;22;926.4;16
2023-03-29;9201X;JACA;HUESCA;832;15.7;0.0;7.2;03:50;24.2;15:20;36;3.1;7.5;22:20;;928.6;00;923.6;19
2023-03-30;9201X;JACA;HUESCA;832;15.0;0.0;8.7;06:00;21.3;15:20;25;1.9;7.8;10:20;;926.1;10;923.2;17
2023-03-31;9201X;JACA;HUESCA;832;12.8;0.0;8.0;06:00;17.5;15:30;28;3.6;14.2;16:00;;923.7;00;920.3;15
2023-04-01;9201X;JACA;HUESCA;832;7.1;6.2;2.2;22:50;12.0;12:20;30;6.7;18.3;16:00;;923.3;08;920.0;17
2023-04-02;9201X;JACA;HUESCA;832;6.4;0.4;1.7;00:50;11.2;12:20;35;8.9;18.9;13:00;;925.6;22;922.1;04
2023-04-03;9201X;JACA;HUESCA;832;8.6;0.0;1.5;05:10;15.6;14:00;35;3.9;12.5;17:10;;925.1;00;917.4;17
2023-04-04;9201X;JACA;HUESCA;832;7.5;0.0;-1.1;05:50;16.1;12:20;36;5.3;15.0;12:30;;922.9;Varias;917.8;02
