FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2014-05-01;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.2;0.0;16.3;Varias;22.2;Varias;;;;;;;;;
2014-05-02;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.8;0.0;16.5;23:48;23.1;Varias;;;;;;;;;
2014-05-03;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.5;0.0;15.3;Varias;25.7;Varias;;;;;;;;;
2014-05-04;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.1;0.0;14.8;Varias;23.4;Varias;;;;;;;;;
2014-05-05;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.7;0.0;15.0;05:28;24.4;Varias;;;;;;;;;
2014-05-06;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.4;0.0;15.7;Varias;23.1;Varias;;;;;;;;;
2014-05-07;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.4;0.0;15.7;Varias;23.0;12:11;;;;;;;;;
2014-05-08;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.0;0.0;17.5;Varias;22.6;Varias;;;;;;;;;
2014-05-09;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.1;0.0;17.5;Varias;22.7;Varias;;;;;;;;;
2014-05-10;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.0;0.0;17.3;Varias;22.8;Varias;;;;;;;;;
2014-05-11;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.2;0.0;17.3;Varias;23.2;Varias;;;;;;;;;
2014-05-12;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.8;0.0;17.0;02:12;22.7;Varias;;;;;;;;;
2014-05-13;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;21.2;0.0;17.6;Varias;24.8;Varias;;;;;;;;;
2014-05-14;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.2;0.0;16.6;Varias;23.9;Varias;;;;;;;;;
2014-05-15;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.7;0.0;16.9;Varias;24.5;Varias;;;;;;;;;
2014-05-16;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.8;0.0;15.3;Varias;24.2;Varias;;;;;;;;;
2014-05-17;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.4;0.0;15.5;03:05;23.4;Varias;;;;;;;;;
2014-05-18;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.4;0.0;16.4;Varias;24.4;Varias;;;;;;;;;
2014-05-19;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.6;0.0;17.0;11:11;22.1;Varias;;;;;;;;;
2014-05-20;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.6;0.0;16.5;02:28;24.6;Varias;;;;;;;;;
2014-05-21;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.1;0.0;15.8;Varias;24.4;Varias;;;;;;;;;
2014-05-22;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;18.6;0.0;17.4;Varias;19.9;Varias;;;;;;;;;
2014-05-23;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.6;0.0;16.6;Varias;22.5;12:35;;;;;;;;;
2014-05-24;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;18.8;0.0;15.4;Varias;22.1;Varias;;;;;;;;;
2014-05-25;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;18.8;0.0;16.1;Varias;21.5;10:00;;;;;;;;;
2014-05-26;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;18.8;0.0;15.3;Varias;22.2;Varias;;;;;;;;;
2014-05-27;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;18.1;0.0;14.0;09:22;22.2;Varias;;;;;;;;;
2014-05-28;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.0;0.0;17.0;Varias;23.0;Varias;;;;;;;;;
2014-05-29;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.0;0.0;17.5;05:30;22.6;Varias;;;;;;;;;
2014-05-30;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.4;0.0;17.6;Varias;23.1;Varias;;;;;;;;;
2014-05-31;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.1;0.0;17.5;03:21;22.7;Varias;;;;;;;;;
2014-06-01;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;19.6;0.0;17.0;06:29;22.2;Varias;;;;;;;;;
2014-06-02;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;20.2;0.0;17.1;Varias;23.2;Varias;;;;;;;;;
2014-06-03;C428U;CITFAGRO_01_ARICO;SANTA CRUZ DE TENERIFE;135;21.2;0.0;17.4;Varias;25.1;Varias;;;;;;;;;
