FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2014-05-01;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.4;0.0;13.3;Varias;23.5;Varias;;;;;;;;;
2014-05-02;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.0;0.0;12.7;Varias;29.4;Varias;;;;;;;;;
2014-05-03;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.1;0.0;16.5;06:56;25.7;Varias;;;;;;;;;
2014-05-04;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;14.4;Varias;26.0;11:12;;;;;;;;;
2014-05-05;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.2;0.0;14.1;Varias;24.4;Varias;;;;;;;;;
2014-05-06;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.2;0.0;14.0;06:53;24.5;11:14;;;;;;;;;
2014-05-07;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;0.0;14.3;Varias;25.3;Varias;;;;;;;;;
2014-05-08;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.6;0.0;15.3;Varias;24.0;11:53;;;;;;;;;
2014-05-09;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.0;0.0;18.4;Varias;27.5;13:40;;;;;;;;;
2014-05-10;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.6;0.0;18.3;Varias;27.0;17:09;;;;;;;;;
2014-05-11;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.8;0.0;14.8;Varias;30.7;Varias;;;;;;;;;
2014-05-12;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.6;0.0;12.8;Varias;24.4;Varias;;;;;;;;;
2014-05-13;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.8;0.0;11.5;01:36;24.1;Varias;;;;;;;;;
2014-05-14;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.2;0.0;16.4;Varias;27.9;Varias;;;;;;;;;
2014-05-15;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.6;0.0;15.7;Varias;31.5;12:01;;;;;;;;;
2014-05-16;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.5;0.0;14.8;Varias;26.2;Varias;;;;;;;;;
2014-05-17;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.8;0.0;13.9;Varias;23.6;Varias;;;;;;;;;
2014-05-18;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.2;0.0;14.2;Varias;24.1;Varias;;;;;;;;;
2014-05-19;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;16.5;0.0;14.5;Varias;18.5;13:21;;;;;;;;;
2014-05-20;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.4;0.0;13.7;Varias;21.2;Varias;;;;;;;;;
2014-05-21;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;16.8;0.1;12.7;Varias;20.9;Varias;;;;;;;;;
2014-05-22;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;16.3;0.0;14.2;Varias;18.4;Varias;;;;;;;;;
2014-05-23;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.0;0.0;12.6;Varias;21.3;Varias;;;;;;;;;
2014-05-24;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;16.8;0.0;12.6;Varias;21.0;12:02;;;;;;;;;
2014-05-25;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;16.7;0.0;13.1;Varias;20.3;Varias;;;;;;;;;
2014-05-26;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.4;0.0;13.1;Varias;21.8;Varias;;;;;;;;;
2014-05-27;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.2;0.0;12.6;Varias;21.8;Varias;;;;;;;;;
2014-05-28;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.2;0.0;13.8;Varias;22.6;Varias;;;;;;;;;
2014-05-29;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.2;0.0;15.6;Varias;22.9;Varias;;;;;;;;;
2014-05-30;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.8;0.0;15.0;Varias;22.7;Varias;;;;;;;;;
2014-05-31;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.4;0.0;14.1;Varias;22.6;Varias;;;;;;;;;
2014-06-01;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.8;0.0;13.2;Varias;22.3;Varias;;;;;;;;;
2014-06-02;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.5;0.0;14.6;Varias;24.4;Varias;;;;;;;;;
2014-06-03;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;17.5;23:48;26.6;Varias;;;;;;;;;
2014-06-04;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.6;0.0;13.6;Varias;21.7;Varias;;;;;;;;;
2014-06-05;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;16.7;0.0;12.6;Varias;20.8;Varias;;;;;;;;;
2014-06-06;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.2;0.0;13.1;Varias;21.3;Varias;;;;;;;;;
2014-06-07;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.4;0.0;13.8;Varias;23.1;Varias;;;;;;;;;
2014-06-08;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.8;0.0;13.6;Varias;22.0;14:55;;;;;;;;;
2014-06-09;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.9;0.0;12.9;Varias;22.9;Varias;;;;;;;;;
2014-06-10;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.0;0.0;15.7;Varias;24.2;Varias;;;;;;;;;
2014-06-11;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;14.9;Varias;25.6;Varias;;;;;;;;;
2014-06-12;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.3;0.0;17.6;Varias;27.0;17:08;;;;;;;;;
2014-06-13;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.3;0.0;15.7;Varias;24.9;Varias;;;;;;;;;
2014-06-14;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.8;0.0;16.2;Varias;21.3;Varias;;;;;;;;;
2014-06-15;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;16.3;Varias;24.1;Varias;;;;;;;;;
2014-06-16;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.2;0.0;15.0;04:15;23.5;13:50;;;;;;;;;
2014-06-17;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.3;0.0;15.9;Varias;22.7;Varias;;;;;;;;;
2014-06-18;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.6;0.0;15.7;Varias;21.5;12:36;;;;;;;;;
2014-06-19;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;17.2;0.0;14.4;Varias;20.1;Varias;;;;;;;;;
2014-06-20;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.5;0.0;13.9;Varias;23.1;Varias;;;;;;;;;
2014-06-21;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.8;0.0;14.7;Varias;22.8;Varias;;;;;;;;;
2014-06-22;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.4;0.0;15.4;Varias;23.5;13:23;;;;;;;;;
2014-06-23;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;0.0;15.6;Varias;23.9;Varias;;;;;;;;;
2014-06-24;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.8;0.0;15.1;Varias;22.6;Varias;;;;;;;;;
2014-06-25;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.4;0.0;15.3;Varias;23.5;12:05;;;;;;;;;
2014-06-26;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.9;0.0;15.1;Varias;24.7;Varias;;;;;;;;;
2014-06-27;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.4;0.0;14.8;Varias;22.1;Varias;;;;;;;;;
2014-06-28;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.0;0.0;14.4;Varias;23.5;23:17;;;;;;;;;
2014-06-29;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.4;0.0;15.7;Varias;29.2;Varias;;;;;;;;;
2014-06-30;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;29.3;0.0;24.7;Varias;33.9;Varias;;;;;;;;;
2014-07-01;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.8;0.0;19.2;Varias;30.3;Varias;;;;;;;;;
2014-07-02;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.4;0.0;16.9;Varias;24.0;14:33;;;;;;;;;
2014-07-03;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.5;0.0;15.3;Varias;23.7;Varias;;;;;;;;;
2014-07-04;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.6;0.0;14.2;Varias;23.1;Varias;;;;;;;;;
2014-07-05;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;15.8;Varias;24.5;13:00;;;;;;;;;
2014-07-06;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;0.0;16.1;Varias;23.5;15:03;;;;;;;;;
2014-07-07;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.2;0.0;15.5;06:28;28.8;Varias;;;;;;;;;
2014-07-08;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.5;0.0;16.1;Varias;28.9;Varias;;;;;;;;;
2014-07-09;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.5;0.0;16.9;Varias;24.1;Varias;;;;;;;;;
2014-07-10;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.0;0.0;16.6;Varias;21.3;Varias;;;;;;;;;
2014-07-11;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.3;0.0;15.7;Varias;22.9;Varias;;;;;;;;;
2014-07-12;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;16.6;Varias;23.8;Varias;;;;;;;;;
2014-07-13;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.0;0.0;16.4;Varias;23.7;Varias;;;;;;;;;
2014-07-14;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;0.0;15.3;Varias;24.2;Varias;;;;;;;;;
2014-07-15;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.4;0.0;15.2;Varias;25.6;Varias;;;;;;;;;
2014-07-16;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.0;0.0;15.2;Varias;24.7;Varias;;;;;;;;;
2014-07-17;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;0.0;15.9;Varias;23.6;Varias;;;;;;;;;
2014-07-18;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.6;0.0;15.1;Varias;24.1;Varias;;;;;;;;;
2014-07-19;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;16.1;Varias;24.4;Varias;;;;;;;;;
2014-07-20;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.8;0.0;17.0;Varias;24.6;Varias;;;;;;;;;
2014-07-21;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.4;0.0;15.7;Varias;25.2;Varias;;;;;;;;;
2014-07-22;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;16.2;Varias;27.8;Varias;;;;;;;;;
2014-07-23;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;16.9;Varias;27.0;15:37;;;;;;;;;
2014-07-24;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.6;0.0;16.0;04:24;25.1;Varias;;;;;;;;;
2014-07-25;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.3;0.0;16.4;Varias;22.2;Varias;;;;;;;;;
2014-07-26;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;18.6;0.0;15.3;Varias;21.9;Varias;;;;;;;;;
2014-07-27;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.6;0.0;15.3;Varias;23.9;Varias;;;;;;;;;
2014-07-28;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;0.0;15.1;Varias;24.6;Varias;;;;;;;;;
2014-07-29;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.0;0.0;16.2;Varias;25.9;Varias;;;;;;;;;
2014-07-30;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.6;0.0;16.6;Varias;24.6;Varias;;;;;;;;;
2014-07-31;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.6;0.0;16.1;Varias;25.2;Varias;;;;;;;;;
2014-08-01;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.8;0.0;16.8;Varias;26.9;Varias;;;;;;;;;
2014-08-02;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.5;0.0;17.1;Varias;27.9;Varias;;;;;;;;;
2014-08-03;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.6;0.0;17.0;06:50;26.1;Varias;;;;;;;;;
2014-08-04;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.9;0.0;17.4;Varias;24.4;Varias;;;;;;;;;
2014-08-05;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.7;0.0;17.0;Varias;26.4;Varias;;;;;;;;;
2014-08-06;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.0;0.0;17.6;Varias;30.3;Varias;;;;;;;;;
2014-08-07;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.6;0.0;18.3;Varias;28.8;Varias;;;;;;;;;
2014-08-08;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;17.8;Varias;26.1;Varias;;;;;;;;;
2014-08-09;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.0;0.0;16.8;Varias;25.3;Varias;;;;;;;;;
2014-08-10;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;18.0;22:37;26.1;Varias;;;;;;;;;
2014-08-11;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.6;0.0;17.0;06:56;26.3;Varias;;;;;;;;;
2014-08-12;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.3;0.0;18.3;Varias;26.3;Varias;;;;;;;;;
2014-08-13;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.6;0.0;18.7;Varias;28.5;14:21;;;;;;;;;
2014-08-14;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.0;0.0;19.0;Varias;29.1;Varias;;;;;;;;;
2014-08-15;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.6;0.0;18.6;Varias;26.5;Varias;;;;;;;;;
2014-08-16;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.2;0.0;19.1;Varias;27.4;Varias;;;;;;;;;
2014-08-17;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.6;0.0;17.8;Varias;27.5;13:40;;;;;;;;;
2014-08-18;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.5;0.0;17.8;Varias;29.2;Varias;;;;;;;;;
2014-08-19;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.8;0.0;17.5;Varias;26.1;Varias;;;;;;;;;
2014-08-20;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.7;0.0;18.7;Varias;28.7;Varias;;;;;;;;;
2014-08-21;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;26.4;0.0;18.8;Varias;33.9;Varias;;;;;;;;;
2014-08-22;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.6;0.0;18.7;Varias;26.5;15:19;;;;;;;;;
2014-08-23;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;17.5;06:28;26.4;Varias;;;;;;;;;
2014-08-24;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.2;0.0;19.3;Varias;29.2;Varias;;;;;;;;;
2014-08-25;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.4;0.0;18.4;Varias;26.4;Varias;;;;;;;;;
2014-08-26;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.0;0.0;18.1;Varias;30.0;14:07;;;;;;;;;
2014-08-27;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;25.2;0.0;18.4;Varias;32.1;14:18;;;;;;;;;
2014-08-28;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.8;0.0;17.0;05:44;30.5;17:23;;;;;;;;;
2014-08-29;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.6;0.0;19.6;Varias;29.6;Varias;;;;;;;;;
2014-08-30;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;24.6;0.0;19.6;Varias;29.7;Varias;;;;;;;;;
2014-08-31;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;23.7;0.0;18.8;Varias;28.6;Varias;;;;;;;;;
2014-09-01;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.8;0.0;18.5;04:19;25.1;Varias;;;;;;;;;
2014-09-02;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.2;0.0;18.1;Varias;24.3;Varias;;;;;;;;;
2014-09-03;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.2;0.0;17.6;Varias;24.8;Varias;;;;;;;;;
2014-09-04;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.1;0.0;18.0;Varias;26.2;Varias;;;;;;;;;
2014-09-05;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.2;0.0;17.9;Varias;26.6;Varias;;;;;;;;;
2014-09-06;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.1;0.1;19.3;Varias;24.9;Varias;;;;;;;;;
2014-09-07;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.8;0.0;18.2;Varias;25.4;Varias;;;;;;;;;
2014-09-08;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.8;0.0;18.9;Varias;24.8;Varias;;;;;;;;;
2014-09-09;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.2;0.0;18.2;Varias;26.3;Varias;;;;;;;;;
2014-09-10;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.4;2.5;18.1;Varias;26.8;Varias;;;;;;;;;
2014-09-11;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;19.0;Varias;24.9;Varias;;;;;;;;;
2014-09-12;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.4;0.0;18.7;Varias;26.0;13:12;;;;;;;;;
2014-09-13;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.6;0.0;19.1;Varias;26.0;11:48;;;;;;;;;
2014-09-14;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.2;0.0;19.3;Varias;25.1;Varias;;;;;;;;;
2014-09-15;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.0;0.0;17.8;Varias;26.3;Varias;;;;;;;;;
2014-09-16;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;22.4;0.0;18.4;Varias;26.4;Varias;;;;;;;;;
2014-09-17;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.6;0.0;18.7;Varias;24.5;09:24;;;;;;;;;
2014-09-18;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;21.0;0.2;17.8;Varias;24.1;Varias;;;;;;;;;
2014-09-19;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;19.8;4.7;17.4;Varias;22.3;Varias;;;;;;;;;
2014-09-20;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.1;0.0;16.9;Varias;23.3;Varias;;;;;;;;;
2014-09-21;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.2;0.0;16.5;Varias;23.8;Varias;;;;;;;;;
2014-09-22;C437E;CITFAGRO_81_MENA;SANTA CRUZ DE TENERIFE;500;20.6;0.2;16.9;Varias;24.3;Varias;;;;;;;;;
