Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,ALAVA,300.0,3.0,5.9,Piso,12.53142857142857,6.5587896825396825,18.504662698412698,2.443,6.746666666666667,958.7716666666668,954.0333333333333
2014-04,ALAVA,364.82,2.4,5.1,Adosado,12.53142857142857,6.5587896825396825,18.504662698412698,2.443,6.746666666666667,958.7716666666668,954.0333333333333
2014-04,ALAVA,450.0,3.9,3.4,Duplex,12.53142857142857,6.5587896825396825,18.504662698412698,2.443,6.746666666666667,958.7716666666668,954.0333333333333
2014-04,ALAVA,494.15,3.2,5.6,Casa Unifamiliar,12.53142857142857,6.5587896825396825,18.504662698412698,2.443,6.746666666666667,958.7716666666668,954.0333333333333
2014-05,ALAVA,191.21,3.0,5.7,Piso,12.42016129032258,6.760797491039426,18.088216845878136,3.0194623655913975,6.548387096774194,961.0048387096774,956.7306451612903
2014-05,ALAVA,357.55,3.0,6.5,Adosado,12.42016129032258,6.760797491039426,18.088216845878136,3.0194623655913975,6.548387096774194,961.0048387096774,956.7306451612903
2014-05,ALAVA,374.15,4.7,3.8,Duplex,12.42016129032258,6.760797491039426,18.088216845878136,3.0194623655913975,6.548387096774194,961.0048387096774,956.7306451612903
2014-05,ALAVA,555.33,4.5,4.3,Casa Unifamiliar,12.42016129032258,6.760797491039426,18.088216845878136,3.0194623655913975,6.548387096774194,961.0048387096774,956.7306451612903
2014-06,ALAVA,300.0,4.1,4.3,Piso,17.66037037037037,10.895925925925926,24.41888888888889,2.755,8.776666666666667,960.7199999999999,957.0
2014-06,ALAVA,295.16,4.5,4.1,Adosado,17.66037037037037,10.895925925925926,24.41888888888889,2.755,8.776666666666667,960.7199999999999,957.0
2014-06,ALAVA,435.89,3.7,4.9,Duplex,17.66037037037037,10.895925925925926,24.41888888888889,2.755,8.776666666666667,960.7199999999999,957.0
2014-06,ALAVA,600.0,2.9,4.3,Casa Unifamiliar,17.66037037037037,10.895925925925926,24.41888888888889,2.755,8.776666666666667,960.7199999999999,957.0
2014-07,ALAVA,197.7,3.5,4.7,Piso,18.78748719918075,12.751580901177677,24.820532514080902,2.865268817204301,7.083870967741936,961.0258064516129,957.3822580645161
2014-07,ALAVA,292.06,2.5,5.1,Adosado,18.78748719918075,12.751580901177677,24.820532514080902,2.865268817204301,7.083870967741936,961.0258064516129,957.3822580645161
2014-07,ALAVA,450.0,2.8,4.7,Duplex,18.78748719918075,12.751580901177677,24.820532514080902,2.865268817204301,7.083870967741936,961.0258064516129,957.3822580645161
2014-07,ALAVA,600.0,4.3,4.5,Casa Unifamiliar,18.78748719918075,12.751580901177677,24.820532514080902,2.865268817204301,7.083870967741936,961.0258064516129,957.3822580645161
2014-08,ALAVA,206.9,5.0,4.0,Piso,19.00022401433692,12.520967741935483,25.477508960573477,2.6673118279569894,7.372580645161291,960.6274193548387,956.733870967742
2014-08,ALAVA,400.0,4.0,4.6,Adosado,19.00022401433692,12.520967741935483,25.477508960573477,2.6673118279569894,7.372580645161291,960.6274193548387,956.733870967742
2014-08,ALAVA,436.01,3.4,4.9,Duplex,19.00022401433692,12.520967741935483,25.477508960573477,2.6673118279569894,7.372580645161291,960.6274193548387,956.733870967742
2014-08,ALAVA,600.0,2.8,6.4,Casa Unifamiliar,19.00022401433692,12.520967741935483,25.477508960573477,2.6673118279569894,7.372580645161291,960.6274193548387,956.733870967742
2014-09,ALAVA,243.44,3.8,5.3,Piso,18.91550925925926,12.165972222222223,25.665648148148147,2.156222222222222,7.1066666666666665,959.2533333333333,955.6233333333333
2014-09,ALAVA,368.42,2.4,3.6,Adosado,18.91550925925926,12.165972222222223,25.665648148148147,2.156222222222222,7.1066666666666665,959.2533333333333,955.6233333333333
2014-09,ALAVA,450.0,3.3,3.6,Duplex,18.91550925925926,12.165972222222223,25.665648148148147,2.156222222222222,7.1066666666666665,959.2533333333333,955.6233333333333
2014-09,ALAVA,600.0,4.7,5.4,Casa Unifamiliar,18.91550925925926,12.165972222222223,25.665648148148147,2.156222222222222,7.1066666666666665,959.2533333333333,955.6233333333333
2014-10,ALAVA,290.64,3.6,4.2,Piso,16.16747311827957,10.16939964157706,22.162948028673835,2.2128494623655914,6.511290322580645,960.3774193548387,956.7
2014-10,ALAVA,328.78,4.1,3.8,Adosado,16.16747311827957,10.16939964157706,22.162948028673835,2.2128494623655914,6.511290322580645,960.3774193548387,956.7
2014-10,ALAVA,430.34,3.9,6.5,Duplex,16.16747311827957,10.16939964157706,22.162948028673835,2.2128494623655914,6.511290322580645,960.3774193548387,956.7
2014-10,ALAVA,506.53,4.3,5.6,Casa Unifamiliar,16.16747311827957,10.16939964157706,22.162948028673835,2.2128494623655914,6.511290322580645,960.3774193548387,956.7
2014-11,ALAVA,236.91,3.3,5.8,Piso,10.042267195767197,6.71135582010582,13.37673015873016,2.945666666666667,2.76,953.7783333333333,947.7900000000001
2014-11,ALAVA,316.8,3.3,4.0,Adosado,10.042267195767197,6.71135582010582,13.37673015873016,2.945666666666667,2.76,953.7783333333333,947.7900000000001
2014-11,ALAVA,450.0,3.7,6.0,Duplex,10.042267195767197,6.71135582010582,13.37673015873016,2.945666666666667,2.76,953.7783333333333,947.7900000000001
2014-11,ALAVA,484.73,3.2,5.0,Casa Unifamiliar,10.042267195767197,6.71135582010582,13.37673015873016,2.945666666666667,2.76,953.7783333333333,947.7900000000001
2014-12,ALAVA,300.0,3.1,4.0,Piso,5.775268817204301,2.7904121863799283,8.755331541218638,2.2165591397849465,2.083870967741935,967.9887096774194,962.9983870967742
2014-12,ALAVA,371.19,2.6,6.1,Adosado,5.775268817204301,2.7904121863799283,8.755331541218638,2.2165591397849465,2.083870967741935,967.9887096774194,962.9983870967742
2014-12,ALAVA,442.26,3.9,5.6,Duplex,5.775268817204301,2.7904121863799283,8.755331541218638,2.2165591397849465,2.083870967741935,967.9887096774194,962.9983870967742
2014-12,ALAVA,490.91,4.6,3.6,Casa Unifamiliar,5.775268817204301,2.7904121863799283,8.755331541218638,2.2165591397849465,2.083870967741935,967.9887096774194,962.9983870967742
2015-01,ALAVA,214.85,3.2,5.8,Piso,4.705600358422939,0.4798387096774193,8.931227598566307,2.229032258064516,3.262903225806452,967.3629032258065,960.8887096774193
2015-01,ALAVA,385.43,3.4,5.0,Adosado,4.705600358422939,0.4798387096774193,8.931227598566307,2.229032258064516,3.262903225806452,967.3629032258065,960.8887096774193
2015-01,ALAVA,450.0,2.0,4.9,Duplex,4.705600358422939,0.4798387096774193,8.931227598566307,2.229032258064516,3.262903225806452,967.3629032258065,960.8887096774193
2015-01,ALAVA,600.0,4.4,4.0,Casa Unifamiliar,4.705600358422939,0.4798387096774193,8.931227598566307,2.229032258064516,3.262903225806452,967.3629032258065,960.8887096774193
2015-02,ALAVA,186.15,2.9,4.7,Piso,3.355208333333333,0.27460317460317457,6.433085317460318,2.9772619047619044,2.280357142857143,962.4339285714286,956.1678571428572
2015-02,ALAVA,322.55,4.9,4.7,Adosado,3.355208333333333,0.27460317460317457,6.433085317460318,2.9772619047619044,2.280357142857143,962.4339285714286,956.1678571428572
2015-02,ALAVA,366.19,4.9,4.3,Duplex,3.355208333333333,0.27460317460317457,6.433085317460318,2.9772619047619044,2.280357142857143,962.4339285714286,956.1678571428572
2015-02,ALAVA,571.79,3.9,3.5,Casa Unifamiliar,3.355208333333333,0.27460317460317457,6.433085317460318,2.9772619047619044,2.280357142857143,962.4339285714286,956.1678571428572
2015-03,ALAVA,286.35,2.6,3.4,Piso,8.196460573476703,3.4079301075268815,12.986155913978495,2.74010752688172,4.674193548387097,965.2354838709678,961.2080645161291
2015-03,ALAVA,369.78,2.5,6.3,Adosado,8.196460573476703,3.4079301075268815,12.986155913978495,2.74010752688172,4.674193548387097,965.2354838709678,961.2080645161291
2015-03,ALAVA,405.84,4.4,6.2,Duplex,8.196460573476703,3.4079301075268815,12.986155913978495,2.74010752688172,4.674193548387097,965.2354838709678,961.2080645161291
2015-03,ALAVA,592.97,2.0,5.2,Casa Unifamiliar,8.196460573476703,3.4079301075268815,12.986155913978495,2.74010752688172,4.674193548387097,965.2354838709678,961.2080645161291
2015-04,ALAVA,267.57,4.6,5.8,Piso,11.904629629629628,6.027037037037037,17.779629629629632,2.9362222222222223,6.913333333333333,962.8183333333333,958.6183333333333
2015-04,ALAVA,345.33,3.6,4.2,Adosado,11.904629629629628,6.027037037037037,17.779629629629632,2.9362222222222223,6.913333333333333,962.8183333333333,958.6183333333333
2015-04,ALAVA,359.9,4.6,5.2,Duplex,11.904629629629628,6.027037037037037,17.779629629629632,2.9362222222222223,6.913333333333333,962.8183333333333,958.6183333333333
2015-04,ALAVA,595.22,2.9,3.8,Casa Unifamiliar,11.904629629629628,6.027037037037037,17.779629629629632,2.9362222222222223,6.913333333333333,962.8183333333333,958.6183333333333
2015-05,ALAVA,300.0,3.7,6.6,Piso,14.546863799283154,8.930913978494624,20.16030465949821,3.1801075268817205,6.320967741935483,963.4161290322581,958.5370967741936
2015-05,ALAVA,357.24,3.5,5.1,Adosado,14.546863799283154,8.930913978494624,20.16030465949821,3.1801075268817205,6.320967741935483,963.4161290322581,958.5370967741936
2015-05,ALAVA,450.0,3.0,6.2,Duplex,14.546863799283154,8.930913978494624,20.16030465949821,3.1801075268817205,6.320967741935483,963.4161290322581,958.5370967741936
