Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,HUESCA,295.23,3.6,4.3,Piso,13.717489177489178,7.137352092352092,20.295144300144297,2.791948051948052,8.986666666666668,918.7655555555556,914.23
2014-04,HUESCA,307.25,3.9,5.9,Adosado,13.717489177489178,7.137352092352092,20.295144300144297,2.791948051948052,8.986666666666668,918.7655555555556,914.23
2014-04,HUESCA,403.52,2.2,6.6,Duplex,13.717489177489178,7.137352092352092,20.295144300144297,2.791948051948052,8.986666666666668,918.7655555555556,914.23
2014-04,HUESCA,554.32,4.0,5.4,Casa Unifamiliar,13.717489177489178,7.137352092352092,20.295144300144297,2.791948051948052,8.986666666666668,918.7655555555556,914.23
2014-05,HUESCA,255.07,3.1,3.9,Piso,14.374994414187961,7.51831936880324,21.232750314201926,2.866200251361542,9.041935483870969,920.4774193548387,916.8419354838709
2014-05,HUESCA,400.0,3.4,5.7,Adosado,14.374994414187961,7.51831936880324,21.232750314201926,2.866200251361542,9.041935483870969,920.4774193548387,916.8419354838709
2014-05,HUESCA,450.0,4.0,4.1,Duplex,14.374994414187961,7.51831936880324,21.232750314201926,2.866200251361542,9.041935483870969,920.4774193548387,916.8419354838709
2014-05,HUESCA,600.0,3.8,3.5,Casa Unifamiliar,14.374994414187961,7.51831936880324,21.232750314201926,2.866200251361542,9.041935483870969,920.4774193548387,916.8419354838709
2014-06,HUESCA,195.95,3.3,6.3,Piso,20.10248363332574,12.841365345181135,27.36432247284879,2.803983620667831,10.743333333333334,927.0216666666668,923.0877777777779
2014-06,HUESCA,291.04,2.7,3.4,Adosado,20.10248363332574,12.841365345181135,27.36432247284879,2.803983620667831,10.743333333333334,927.0216666666668,923.0877777777779
2014-06,HUESCA,395.62,3.3,3.8,Duplex,20.10248363332574,12.841365345181135,27.36432247284879,2.803983620667831,10.743333333333334,927.0216666666668,923.0877777777779
2014-06,HUESCA,461.43,3.7,4.5,Casa Unifamiliar,20.10248363332574,12.841365345181135,27.36432247284879,2.803983620667831,10.743333333333334,927.0216666666668,923.0877777777779
2014-07,HUESCA,218.62,3.0,5.5,Piso,20.82970358447438,13.756582475249708,27.90543032801946,2.94069403714565,10.95483870967742,924.0456989247313,920.6064516129032
2014-07,HUESCA,280.79,4.9,6.1,Adosado,20.82970358447438,13.756582475249708,27.90543032801946,2.94069403714565,10.95483870967742,924.0456989247313,920.6064516129032
2014-07,HUESCA,414.21,2.7,4.6,Duplex,20.82970358447438,13.756582475249708,27.90543032801946,2.94069403714565,10.95483870967742,924.0456989247313,920.6064516129032
2014-07,HUESCA,486.73,2.5,5.9,Casa Unifamiliar,20.82970358447438,13.756582475249708,27.90543032801946,2.94069403714565,10.95483870967742,924.0456989247313,920.6064516129032
2014-08,HUESCA,220.98,4.6,5.3,Piso,21.329637877685414,14.566449738716292,28.093290374028914,2.246622678396872,9.951612903225806,925.0172043010753,921.7591397849462
2014-08,HUESCA,400.0,3.4,4.3,Adosado,21.329637877685414,14.566449738716292,28.093290374028914,2.246622678396872,9.951612903225806,925.0172043010753,921.7591397849462
2014-08,HUESCA,394.99,3.7,4.6,Duplex,21.329637877685414,14.566449738716292,28.093290374028914,2.246622678396872,9.951612903225806,925.0172043010753,921.7591397849462
2014-08,HUESCA,515.6,3.1,3.8,Casa Unifamiliar,21.329637877685414,14.566449738716292,28.093290374028914,2.246622678396872,9.951612903225806,925.0172043010753,921.7591397849462
2014-09,HUESCA,187.01,4.6,4.3,Piso,19.807580618212196,13.682206804891017,25.933079415710996,1.73713985870797,7.513333333333334,925.0916666666667,921.925
2014-09,HUESCA,366.13,5.0,3.3,Adosado,19.807580618212196,13.682206804891017,25.933079415710996,1.73713985870797,7.513333333333334,925.0916666666667,921.925
2014-09,HUESCA,450.0,3.4,5.4,Duplex,19.807580618212196,13.682206804891017,25.933079415710996,1.73713985870797,7.513333333333334,925.0916666666667,921.925
2014-09,HUESCA,594.63,4.8,6.3,Casa Unifamiliar,19.807580618212196,13.682206804891017,25.933079415710996,1.73713985870797,7.513333333333334,925.0916666666667,921.925
2014-10,HUESCA,287.29,3.1,5.5,Piso,16.23058670758881,10.156757436112274,22.30489581246243,1.715733296009372,6.316129032258065,922.2236559139785,919.2075268817205
2014-10,HUESCA,400.0,3.4,6.0,Adosado,16.23058670758881,10.156757436112274,22.30489581246243,1.715733296009372,6.316129032258065,922.2236559139785,919.2075268817205
2014-10,HUESCA,450.0,2.6,5.5,Duplex,16.23058670758881,10.156757436112274,22.30489581246243,1.715733296009372,6.316129032258065,922.2236559139785,919.2075268817205
2014-10,HUESCA,564.69,4.2,3.6,Casa Unifamiliar,16.23058670758881,10.156757436112274,22.30489581246243,1.715733296009372,6.316129032258065,922.2236559139785,919.2075268817205
2014-11,HUESCA,191.76,4.5,6.2,Piso,9.559594312692138,5.218304238032499,13.89879336846728,1.8625083129430955,3.7199999999999998,916.0538888888889,911.0922222222222
2014-11,HUESCA,400.0,2.3,5.7,Adosado,9.559594312692138,5.218304238032499,13.89879336846728,1.8625083129430955,3.7199999999999998,916.0538888888889,911.0922222222222
2014-11,HUESCA,434.32,3.6,6.1,Duplex,9.559594312692138,5.218304238032499,13.89879336846728,1.8625083129430955,3.7199999999999998,916.0538888888889,911.0922222222222
2014-11,HUESCA,461.8,2.5,6.5,Casa Unifamiliar,9.559594312692138,5.218304238032499,13.89879336846728,1.8625083129430955,3.7199999999999998,916.0538888888889,911.0922222222222
2014-12,HUESCA,300.0,4.1,4.2,Piso,5.410731058329235,0.6321073386641409,10.192331727412371,2.496185254670528,4.716129032258064,927.4489247311828,922.9209677419354
2014-12,HUESCA,400.0,2.6,4.5,Adosado,5.410731058329235,0.6321073386641409,10.192331727412371,2.496185254670528,4.716129032258064,927.4489247311828,922.9209677419354
2014-12,HUESCA,450.0,3.4,6.0,Duplex,5.410731058329235,0.6321073386641409,10.192331727412371,2.496185254670528,4.716129032258064,927.4489247311828,922.9209677419354
2014-12,HUESCA,600.0,3.6,5.7,Casa Unifamiliar,5.410731058329235,0.6321073386641409,10.192331727412371,2.496185254670528,4.716129032258064,927.4489247311828,922.9209677419354
2015-01,HUESCA,254.44,4.9,6.0,Piso,4.545019975349568,-0.7659308725402695,9.852967614433252,2.360382628124564,5.235483870967743,925.1290322580645,919.1870967741935
2015-01,HUESCA,400.0,3.1,5.1,Adosado,4.545019975349568,-0.7659308725402695,9.852967614433252,2.360382628124564,5.235483870967743,925.1290322580645,919.1870967741935
2015-01,HUESCA,450.0,4.7,6.4,Duplex,4.545019975349568,-0.7659308725402695,9.852967614433252,2.360382628124564,5.235483870967743,925.1290322580645,919.1870967741935
2015-01,HUESCA,468.14,4.1,6.2,Casa Unifamiliar,4.545019975349568,-0.7659308725402695,9.852967614433252,2.360382628124564,5.235483870967743,925.1290322580645,919.1870967741935
2015-02,HUESCA,184.17,3.3,5.6,Piso,4.082678268936033,-1.1640006990938667,9.333479874163103,3.1044094001236857,6.639285714285714,921.2785714285714,915.432738095238
2015-02,HUESCA,399.52,4.7,3.5,Adosado,4.082678268936033,-1.1640006990938667,9.333479874163103,3.1044094001236857,6.639285714285714,921.2785714285714,915.432738095238
