Fecha,Provincia,Consumo energético (kWh/m²),Media de residentes,Potencia contratada (kW),Tipo de vivienda,TMEDIA,TMIN,TMAX,VELMEDIA,SOL,PRESMAX,PRESMIN
2014-04,PONTEVEDRA,300.0,3.2,5.2,Piso,13.807115384615384,9.327820512820514,18.287350427350425,2.3332738095238095,4.618888888888889,1001.5041666666667,996.8655555555556
2014-04,PONTEVEDRA,396.33,4.1,5.2,Adosado,13.807115384615384,9.327820512820514,18.287350427350425,2.3332738095238095,4.618888888888889,1001.5041666666667,996.8655555555556
2014-04,PONTEVEDRA,450.0,2.9,4.7,Duplex,13.807115384615384,9.327820512820514,18.287350427350425,2.3332738095238095,4.618888888888889,1001.5041666666667,996.8655555555556
2014-04,PONTEVEDRA,600.0,3.2,3.7,Casa Unifamiliar,13.807115384615384,9.327820512820514,18.287350427350425,2.3332738095238095,4.618888888888889,1001.5041666666667,996.8655555555556
2014-05,PONTEVEDRA,273.92,3.3,3.9,Piso,14.611166253101736,8.988337468982632,20.233498759305213,2.3913018433179727,7.841935483870968,1003.4749999999999,999.4193548387096
2014-05,PONTEVEDRA,364.82,3.7,6.3,Adosado,14.611166253101736,8.988337468982632,20.233498759305213,2.3913018433179727,7.841935483870968,1003.4749999999999,999.4193548387096
2014-05,PONTEVEDRA,450.0,2.2,5.1,Duplex,14.611166253101736,8.988337468982632,20.233498759305213,2.3913018433179727,7.841935483870968,1003.4749999999999,999.4193548387096
2014-05,PONTEVEDRA,600.0,2.4,5.8,Casa Unifamiliar,14.611166253101736,8.988337468982632,20.233498759305213,2.3913018433179727,7.841935483870968,1003.4749999999999,999.4193548387096
2014-06,PONTEVEDRA,202.06,4.2,6.0,Piso,17.856666666666666,12.457692307692307,23.259487179487177,2.315952380952381,7.114444444444445,1002.6166666666667,999.1116666666666
2014-06,PONTEVEDRA,290.75,2.9,6.5,Adosado,17.856666666666666,12.457692307692307,23.259487179487177,2.315952380952381,7.114444444444445,1002.6166666666667,999.1116666666666
2014-06,PONTEVEDRA,435.0,4.6,3.4,Duplex,17.856666666666666,12.457692307692307,23.259487179487177,2.315952380952381,7.114444444444445,1002.6166666666667,999.1116666666666
2014-06,PONTEVEDRA,464.9,3.8,4.1,Casa Unifamiliar,17.856666666666666,12.457692307692307,23.259487179487177,2.315952380952381,7.114444444444445,1002.6166666666667,999.1116666666666
2014-07,PONTEVEDRA,256.24,2.7,5.3,Piso,19.855334987593054,14.252729528535978,25.455128205128204,2.4223963133640556,9.843010752688171,1002.7645161290322,999.2709677419356
2014-07,PONTEVEDRA,333.14,2.6,5.7,Adosado,19.855334987593054,14.252729528535978,25.455128205128204,2.4223963133640556,9.843010752688171,1002.7645161290322,999.2709677419356
2014-07,PONTEVEDRA,327.01,2.7,5.3,Duplex,19.855334987593054,14.252729528535978,25.455128205128204,2.4223963133640556,9.843010752688171,1002.7645161290322,999.2709677419356
2014-07,PONTEVEDRA,544.35,4.6,4.0,Casa Unifamiliar,19.855334987593054,14.252729528535978,25.455128205128204,2.4223963133640556,9.843010752688171,1002.7645161290322,999.2709677419356
2014-08,PONTEVEDRA,240.21,4.2,4.3,Piso,18.933147229114972,13.550268817204302,24.323118279569893,2.0693548387096774,7.6430107526881725,1002.9943548387097,999.9290322580645
2014-08,PONTEVEDRA,338.75,4.2,4.9,Adosado,18.933147229114972,13.550268817204302,24.323118279569893,2.0693548387096774,7.6430107526881725,1002.9943548387097,999.9290322580645
2014-08,PONTEVEDRA,440.71,2.3,5.5,Duplex,18.933147229114972,13.550268817204302,24.323118279569893,2.0693548387096774,7.6430107526881725,1002.9943548387097,999.9290322580645
2014-08,PONTEVEDRA,526.3,4.8,3.9,Casa Unifamiliar,18.933147229114972,13.550268817204302,24.323118279569893,2.0693548387096774,7.6430107526881725,1002.9943548387097,999.9290322580645
2014-09,PONTEVEDRA,223.35,3.4,4.6,Piso,19.529895104895104,14.591367521367522,24.46386946386946,2.0430952380952383,5.902222222222222,1000.1125,996.5733333333334
2014-09,PONTEVEDRA,363.9,4.6,5.8,Adosado,19.529895104895104,14.591367521367522,24.46386946386946,2.0430952380952383,5.902222222222222,1000.1125,996.5733333333334
2014-09,PONTEVEDRA,450.0,2.1,3.9,Duplex,19.529895104895104,14.591367521367522,24.46386946386946,2.0430952380952383,5.902222222222222,1000.1125,996.5733333333334
2014-09,PONTEVEDRA,600.0,4.3,5.7,Casa Unifamiliar,19.529895104895104,14.591367521367522,24.46386946386946,2.0430952380952383,5.902222222222222,1000.1125,996.5733333333334
2014-10,PONTEVEDRA,232.71,3.6,3.5,Piso,17.724364613880745,12.851505752312205,22.59207835175577,1.916152073732719,4.116129032258065,1001.7209677419354,997.6736559139786
2014-10,PONTEVEDRA,400.0,2.8,4.1,Adosado,17.724364613880745,12.851505752312205,22.59207835175577,1.916152073732719,4.116129032258065,1001.7209677419354,997.6736559139786
2014-10,PONTEVEDRA,450.0,3.6,5.9,Duplex,17.724364613880745,12.851505752312205,22.59207835175577,1.916152073732719,4.116129032258065,1001.7209677419354,997.6736559139786
2014-10,PONTEVEDRA,600.0,3.0,6.2,Casa Unifamiliar,17.724364613880745,12.851505752312205,22.59207835175577,1.916152073732719,4.116129032258065,1001.7209677419354,997.6736559139786
2014-11,PONTEVEDRA,284.3,4.2,5.5,Piso,11.564039627039627,8.367465034965035,14.758601787101787,2.3355555555555556,2.0644444444444443,994.0811111111111,986.8788888888888
2014-11,PONTEVEDRA,299.15,3.3,6.5,Adosado,11.564039627039627,8.367465034965035,14.758601787101787,2.3355555555555556,2.0644444444444443,994.0811111111111,986.8788888888888
2014-11,PONTEVEDRA,407.48,4.5,5.6,Duplex,11.564039627039627,8.367465034965035,14.758601787101787,2.3355555555555556,2.0644444444444443,994.0811111111111,986.8788888888888
2014-11,PONTEVEDRA,600.0,2.8,6.0,Casa Unifamiliar,11.564039627039627,8.367465034965035,14.758601787101787,2.3355555555555556,2.0644444444444443,994.0811111111111,986.8788888888888
2014-12,PONTEVEDRA,218.88,4.2,5.7,Piso,8.704665764343185,4.95487630648921,12.454912023460409,1.55752688172043,2.7,1014.9709677419354,1009.8930107526882
2014-12,PONTEVEDRA,400.0,2.6,4.0,Adosado,8.704665764343185,4.95487630648921,12.454912023460409,1.55752688172043,2.7,1014.9709677419354,1009.8930107526882
2014-12,PONTEVEDRA,450.0,4.9,3.4,Duplex,8.704665764343185,4.95487630648921,12.454912023460409,1.55752688172043,2.7,1014.9709677419354,1009.8930107526882
2014-12,PONTEVEDRA,600.0,4.6,6.0,Casa Unifamiliar,8.704665764343185,4.95487630648921,12.454912023460409,1.55752688172043,2.7,1014.9709677419354,1009.8930107526882
2015-01,PONTEVEDRA,202.84,4.8,5.6,Piso,7.982382133995037,3.7970223325062036,12.170719602977668,1.7973118279569893,3.370967741935484,1014.6943548387097,1007.9306451612903
2015-01,PONTEVEDRA,400.0,2.1,4.5,Adosado,7.982382133995037,3.7970223325062036,12.170719602977668,1.7973118279569893,3.370967741935484,1014.6943548387097,1007.9306451612903
2015-01,PONTEVEDRA,393.8,4.3,6.5,Duplex,7.982382133995037,3.7970223325062036,12.170719602977668,1.7973118279569893,3.370967741935484,1014.6943548387097,1007.9306451612903
2015-01,PONTEVEDRA,556.78,3.8,4.3,Casa Unifamiliar,7.982382133995037,3.7970223325062036,12.170719602977668,1.7973118279569893,3.370967741935484,1014.6943548387097,1007.9306451612903
2015-02,PONTEVEDRA,208.0,4.2,6.1,Piso,7.549450549450549,3.9381868131868134,11.163736263736265,2.3017857142857143,3.294047619047619,1010.7857142857143,1004.6616071428572
2015-02,PONTEVEDRA,312.39,3.5,3.5,Adosado,7.549450549450549,3.9381868131868134,11.163736263736265,2.3017857142857143,3.294047619047619,1010.7857142857143,1004.6616071428572
2015-02,PONTEVEDRA,376.32,3.3,4.5,Duplex,7.549450549450549,3.9381868131868134,11.163736263736265,2.3017857142857143,3.294047619047619,1010.7857142857143,1004.6616071428572
2015-02,PONTEVEDRA,600.0,3.4,4.9,Casa Unifamiliar,7.549450549450549,3.9381868131868134,11.163736263736265,2.3017857142857143,3.294047619047619,1010.7857142857143,1004.6616071428572
2015-03,PONTEVEDRA,205.48,4.3,3.9,Piso,11.041666666666668,5.939433416046319,16.146629445822995,2.430357142857143,6.495698924731183,1010.7774193548387,1006.5736559139784
2015-03,PONTEVEDRA,400.0,3.2,4.1,Adosado,11.041666666666668,5.939433416046319,16.146629445822995,2.430357142857143,6.495698924731183,1010.7774193548387,1006.5736559139784
